Property ID,Sale Price
1461,$99433
1462,$105401
1463,$161905
1464,$164909
1465,$205666
1466,$156370
1467,$154523
1468,$141973
1469,$193191
1470,$105043
1471,$159131
1472,$85586
1473,$79709
1474,$124788
1475,$91999
1476,$342258
1477,$275276
1478,$307921
1479,$311512
1480,$447004
1481,$309968
1482,$218866
1483,$169618
1484,$150548
1485,$193977
1486,$184326
1487,$324456
1488,$210145
1489,$195707
1490,$229778
1491,$202311
1492,$90930
1493,$186420
1494,$329678
1495,$277766
1496,$221411
1497,$153932
1498,$171133
1499,$147118
1500,$136714
1501,$193809
1502,$114431
1503,$310671
1504,$229107
1505,$208113
1506,$169804
1507,$242289
1508,$200994
1509,$141565
1510,$135374
1511,$160154
1512,$166578
1513,$148485
1514,$146237
1515,$194331
1516,$152162
1517,$156110
1518,$89434
1519,$207898
1520,$119394
1521,$116752
1522,$179472
1523,$90678
1524,$103969
1525,$97511
1526,$104309
1527,$93646
1528,$108208
1529,$143559
1530,$201866
1531,$155104
1532,$91070
1533,$159492
1534,$105105
1535,$132707
1536,$75993
1537,$38848
1538,$154864
1539,$207382
1540,$121950
1541,$127147
1542,$133974
1543,$176357
1544,$76929
1545,$118614
1546,$137947
1547,$145965
1548,$141429
1549,$128641
1550,$136656
1551,$98655
1552,$155511
1553,$154644
1554,$100854
1555,$143836
1556,$51360
1557,$100889
1558,$78466
1559,$49625
1560,$124194
1561,$31465
1562,$124085
1563,$118467
1564,$150684
1565,$123318
1566,$238851
1567,$49258
1568,$242130
1569,$104238
1570,$125622
1571,$75233
1572,$121340
1573,$256507
1574,$128073
1575,$244137
1576,$223208
1577,$175627
1578,$133959
1579,$132193
1580,$181576
1581,$151629
1582,$120071
1583,$280549
1584,$209868
1585,$126347
1586,$45233
1587,$93808
1588,$155690
1589,$88133
1590,$110057
1591,$76608
1592,$94409
1593,$123421
1594,$150227
1595,$121021
1596,$221493
1597,$202125
1598,$221801
1599,$184914
1600,$168365
1601,$33043
1602,$109590
1603,$40768
1604,$259318
1605,$227836
1606,$136996
1607,$136423
1608,$198099
1609,$190570
1610,$141079
1611,$127498
1612,$163403
1613,$138469
1614,$132571
1615,$75014
1616,$54683
1617,$58883
1618,$117111
1619,$141459
1620,$165485
1621,$120442
1622,$132357
1623,$252017
1624,$202329
1625,$108845
1626,$160362
1627,$168562
1628,$272982
1629,$170980
1630,$349664
1631,$246783
1632,$250878
1633,$177863
1634,$168477
1635,$167147
1636,$127205
1637,$181453
1638,$179547
1639,$154904
1640,$241855
1641,$161575
1642,$244802
1643,$210197
1644,$221118
1645,$212046
1646,$147865
1647,$133112
1648,$110939
1649,$122576
1650,$95629
1651,$91904
1652,$89622
1653,$89997
1654,$135527
1655,$126939
1656,$124261
1657,$144830
1658,$134916
1659,$109052
1660,$140189
1661,$408820
1662,$374637
1663,$359248
1664,$502427
1665,$296807
1666,$309009
1667,$349060
1668,$337843
1669,$310692
1670,$335131
1671,$288113
1672,$393722
1673,$311122
1674,$258552
1675,$213661
1676,$213882
1677,$218827
1678,$455318
1679,$366197
1680,$302840
1681,$250040
1682,$321964
1683,$190713
1684,$172555
1685,$170020
1686,$146302
1687,$168570
1688,$173319
1689,$181024
1690,$188113
1691,$175288
1692,$247030
1693,$193091
1694,$167416
1695,$165552
1696,$269061
1697,$162245
1698,$333858
1699,$334906
1700,$266106
1701,$286223
1702,$226594
1703,$219505
1704,$264426
1705,$235065
1706,$182961
1707,$202025
1708,$194034
1709,$238685
1710,$214880
1711,$255740
1712,$247141
1713,$251050
1714,$192191
1715,$203779
1716,$176571
1717,$169415
1718,$139216
1719,$218899
1720,$149363
1721,$143519
1722,$112418
1723,$138860
1724,$207220
1725,$246720
1726,$176790
1727,$155242
1728,$153852
1729,$161967
1730,$126574
1731,$115379
1732,$117023
1733,$101439
1734,$108893
1735,$98318
1736,$86287
1737,$291975
1738,$254300
1739,$242641
1740,$192072
1741,$172996
1742,$165315
1743,$160686
1744,$308091
1745,$227085
1746,$201644
1747,$218361
1748,$216436
1749,$124462
1750,$106422
1751,$230066
1752,$100956
1753,$133358
1754,$183907
1755,$161501
1756,$145383
1757,$109729
1758,$130294
1759,$154895
1760,$150107
1761,$129300
1762,$176439
1763,$170490
1764,$103819
1765,$161415
1766,$177371
1767,$210483
1768,$126943
1769,$149861
1770,$151734
1771,$110083
1772,$135152
1773,$99553
1774,$142138
1775,$144343
1776,$151288
1777,$91098
1778,$143264
1779,$127568
1780,$149616
1781,$112201
1782,$51443
1783,$120146
1784,$70831
1785,$114802
