Property ID,Sale Price
1461,$99.4K
1462,$105.4K
1463,$161.9K
1464,$164.9K
1465,$205.7K
1466,$156.4K
1467,$154.5K
1468,$142.0K
1469,$193.2K
1470,$105.0K
1471,$159.1K
1472,$85.6K
1473,$79.7K
1474,$124.8K
1475,$92.0K
1476,$342.3K
1477,$275.3K
1478,$307.9K
1479,$311.5K
1480,$447.0K
1481,$310.0K
1482,$218.9K
1483,$169.6K
1484,$150.5K
1485,$194.0K
1486,$184.3K
1487,$324.5K
1488,$210.1K
1489,$195.7K
1490,$229.8K
1491,$202.3K
1492,$90.9K
1493,$186.4K
1494,$329.7K
1495,$277.8K
1496,$221.4K
1497,$153.9K
1498,$171.1K
1499,$147.1K
1500,$136.7K
1501,$193.8K
1502,$114.4K
1503,$310.7K
1504,$229.1K
1505,$208.1K
1506,$169.8K
1507,$242.3K
1508,$201.0K
1509,$141.6K
1510,$135.4K
1511,$160.2K
1512,$166.6K
1513,$148.5K
1514,$146.2K
1515,$194.3K
1516,$152.2K
1517,$156.1K
1518,$89.4K
1519,$207.9K
1520,$119.4K
1521,$116.8K
1522,$179.5K
1523,$90.7K
1524,$104.0K
1525,$97.5K
1526,$104.3K
1527,$93.6K
1528,$108.2K
1529,$143.6K
1530,$201.9K
1531,$155.1K
1532,$91.1K
1533,$159.5K
1534,$105.1K
1535,$132.7K
1536,$76.0K
1537,$38.8K
1538,$154.9K
1539,$207.4K
1540,$122.0K
1541,$127.1K
1542,$134.0K
1543,$176.4K
1544,$76.9K
1545,$118.6K
1546,$137.9K
1547,$146.0K
1548,$141.4K
1549,$128.6K
1550,$136.7K
1551,$98.7K
1552,$155.5K
1553,$154.6K
1554,$100.9K
1555,$143.8K
1556,$51.4K
1557,$100.9K
1558,$78.5K
1559,$49.6K
1560,$124.2K
1561,$31.5K
1562,$124.1K
1563,$118.5K
1564,$150.7K
1565,$123.3K
1566,$238.9K
1567,$49.3K
1568,$242.1K
1569,$104.2K
1570,$125.6K
1571,$75.2K
1572,$121.3K
1573,$256.5K
1574,$128.1K
1575,$244.1K
1576,$223.2K
1577,$175.6K
1578,$134.0K
1579,$132.2K
1580,$181.6K
1581,$151.6K
1582,$120.1K
1583,$280.5K
1584,$209.9K
1585,$126.3K
1586,$45.2K
1587,$93.8K
1588,$155.7K
1589,$88.1K
1590,$110.1K
1591,$76.6K
1592,$94.4K
1593,$123.4K
1594,$150.2K
1595,$121.0K
1596,$221.5K
1597,$202.1K
1598,$221.8K
1599,$184.9K
1600,$168.4K
1601,$33.0K
1602,$109.6K
1603,$40.8K
1604,$259.3K
1605,$227.8K
1606,$137.0K
1607,$136.4K
1608,$198.1K
1609,$190.6K
1610,$141.1K
1611,$127.5K
1612,$163.4K
1613,$138.5K
1614,$132.6K
1615,$75.0K
