Property ID,Sale Price
1461,$135515
1462,$152960
1463,$191997
1464,$200611
1465,$217887
1466,$190614
1467,$166677
1468,$178893
1469,$221067
1470,$139640
1471,$223665
1472,$96994
1473,$106113
1474,$160177
1475,$140643
1476,$352205
1477,$245172
1478,$299914
1479,$280879
1480,$381332
1481,$319460
1482,$221820
1483,$174207
1484,$178586
1485,$177283
1486,$232182
1487,$305742
1488,$253286
1489,$189557
1490,$203384
1491,$217065
1492,$108754
1493,$181235
1494,$306030
1495,$300914
1496,$247062
1497,$208818
1498,$159156
1499,$156587
1500,$152182
1501,$176083
1502,$164323
1503,$309425
1504,$245388
1505,$242624
1506,$204751
1507,$229385
1508,$215282
1509,$181390
1510,$152036
1511,$151389
1512,$184227
1513,$167261
1514,$170449
1515,$192793
1516,$172356
1517,$160788
1518,$137914
1519,$243185
1520,$143023
1521,$144178
1522,$176535
1523,$123318
1524,$130592
1525,$137429
1526,$134450
1527,$107310
1528,$138481
1529,$146664
1530,$181925
1531,$133911
1532,$122945
1533,$161433
1534,$119307
1535,$165925
1536,$125770
1537,$79007
1538,$188070
1539,$252085
1540,$119869
1541,$161026
1542,$155414
1543,$247756
1544,$93735
1545,$119972
1546,$129231
1547,$155588
1548,$150580
1549,$120050
1550,$156141
1551,$133302
1552,$156282
1553,$145265
1554,$123857
1555,$176471
1556,$101298
1557,$145415
1558,$103167
1559,$119792
1560,$161022
1561,$164622
1562,$134047
1563,$135067
1564,$183537
1565,$159595
1566,$255695
1567,$79944
1568,$232434
1569,$160589
1570,$130465
1571,$144228
1572,$152999
1573,$242398
1574,$132640
1575,$247248
1576,$230726
1577,$194709
1578,$162029
1579,$144541
1580,$216799
1581,$147913
1582,$140264
1583,$327910
1584,$264803
1585,$146241
1586,$76001
1587,$109615
1588,$156087
1589,$106035
1590,$152165
1591,$125437
1592,$137480
1593,$126749
1594,$137727
1595,$125974
1596,$249017
1597,$173180
1598,$199250
1599,$244875
1600,$209498
1601,$84600
1602,$120681
1603,$104615
1604,$313207
1605,$257081
1606,$169942
1607,$172781
1608,$220166
1609,$189141
1610,$159605
1611,$148454
1612,$170656
1613,$161660
1614,$135496
1615,$92418
1616,$86518
1617,$98721
1618,$137779
1619,$132616
1620,$154856
1621,$139546
1622,$164617
1623,$287607
1624,$229871
1625,$136642
1626,$179131
1627,$201107
1628,$301396
1629,$190216
1630,$343107
1631,$231232
1632,$268603
1633,$175731
1634,$200638
1635,$197798
1636,$157386
1637,$192949
1638,$235751
1639,$189800
1640,$256745
1641,$207574
1642,$257702
1643,$243991
1644,$233260
1645,$192285
1646,$157297
1647,$162866
1648,$143803
1649,$144397
1650,$134871
1651,$133062
1652,$97003
1653,$98507
1654,$158381
1655,$162341
1656,$154271
1657,$155377
1658,$156708
1659,$148941
1660,$148377
1661,$362276
1662,$346372
1663,$357748
1664,$345956
1665,$296522
1666,$319857
1667,$317428
1668,$322014
1669,$304360
1670,$323456
1671,$275857
1672,$349051
1673,$296502
1674,$254130
1675,$188748
1676,$190715
1677,$223336
1678,$360840
1679,$351997
1680,$345747
1681,$280990
1682,$312348
1683,$209921
1684,$187466
1685,$180602
1686,$168415
1687,$171657
1688,$207406
1689,$201164
1690,$201347
1691,$177960
1692,$279759
1693,$175605
1694,$195639
1695,$175543
1696,$279353
1697,$178426
1698,$313724
1699,$310361
1700,$280308
1701,$294239
1702,$230774
1703,$246659
1704,$305795
1705,$242250
1706,$349587
1707,$229122
1708,$225614
1709,$258790
1710,$240410
1711,$264174
1712,$266476
1713,$266290
1714,$242978
1715,$226786
1716,$181124
1717,$174540
1718,$145146
1719,$232450
1720,$245280
1721,$174163
1722,$131831
1723,$155801
1724,$232117
1725,$250662
1726,$199372
1727,$172479
1728,$201393
1729,$175025
1730,$175169
1731,$135328
1732,$138978
1733,$135393
1734,$140052
1735,$138448
1736,$127938
1737,$337758
