Property ID,Sale Price
1461,$135.5K
1462,$153.0K
1463,$192.0K
1464,$200.6K
1465,$217.9K
1466,$190.6K
1467,$166.7K
1468,$178.9K
1469,$221.1K
1470,$139.6K
1471,$223.7K
1472,$97.0K
1473,$106.1K
1474,$160.2K
1475,$140.6K
1476,$352.2K
1477,$245.2K
1478,$299.9K
1479,$280.9K
1480,$381.3K
1481,$319.5K
1482,$221.8K
1483,$174.2K
1484,$178.6K
1485,$177.3K
1486,$232.2K
1487,$305.7K
1488,$253.3K
1489,$189.6K
1490,$203.4K
1491,$217.1K
1492,$108.8K
1493,$181.2K
1494,$306.0K
1495,$300.9K
1496,$247.1K
1497,$208.8K
1498,$159.2K
1499,$156.6K
1500,$152.2K
1501,$176.1K
1502,$164.3K
1503,$309.4K
1504,$245.4K
1505,$242.6K
1506,$204.8K
1507,$229.4K
1508,$215.3K
1509,$181.4K
1510,$152.0K
1511,$151.4K
1512,$184.2K
1513,$167.3K
1514,$170.4K
1515,$192.8K
1516,$172.4K
1517,$160.8K
1518,$137.9K
1519,$243.2K
1520,$143.0K
1521,$144.2K
1522,$176.5K
1523,$123.3K
1524,$130.6K
1525,$137.4K
1526,$134.4K
1527,$107.3K
1528,$138.5K
1529,$146.7K
1530,$181.9K
1531,$133.9K
1532,$122.9K
1533,$161.4K
1534,$119.3K
1535,$165.9K
1536,$125.8K
1537,$79.0K
1538,$188.1K
1539,$252.1K
1540,$119.9K
1541,$161.0K
1542,$155.4K
1543,$247.8K
1544,$93.7K
1545,$120.0K
1546,$129.2K
1547,$155.6K
1548,$150.6K
1549,$120.0K
1550,$156.1K
1551,$133.3K
1552,$156.3K
1553,$145.3K
1554,$123.9K
1555,$176.5K
1556,$101.3K
1557,$145.4K
1558,$103.2K
1559,$119.8K
1560,$161.0K
1561,$164.6K
1562,$134.0K
1563,$135.1K
1564,$183.5K
1565,$159.6K
1566,$255.7K
1567,$79.9K
1568,$232.4K
1569,$160.6K
1570,$130.5K
1571,$144.2K
1572,$153.0K
1573,$242.4K
1574,$132.6K
1575,$247.2K
1576,$230.7K
1577,$194.7K
1578,$162.0K
1579,$144.5K
1580,$216.8K
1581,$147.9K
1582,$140.3K
1583,$327.9K
1584,$264.8K
1585,$146.2K
1586,$76.0K
1587,$109.6K
1588,$156.1K
1589,$106.0K
1590,$152.2K
1591,$125.4K
1592,$137.5K
1593,$126.7K
1594,$137.7K
1595,$126.0K
1596,$249.0K
1597,$173.2K
1598,$199.2K
1599,$244.9K
1600,$209.5K
1601,$84.6K
1602,$120.7K
1603,$104.6K
1604,$313.2K
1605,$257.1K
1606,$169.9K
1607,$172.8K
1608,$220.2K
1609,$189.1K
1610,$159.6K
1611,$148.5K
1612,$170.7K
1613,$161.7K
1614,$135.5K
1615,$92.4K
1616,$86.5K
1617,$98.7K
1618,$137.8K
1619,$132.6K
1620,$154.9K
1621,$139.5K
1622,$164.6K
1623,$287.6K
1624,$229.9K
1625,$136.6K
1626,$179.1K
1627,$201.1K
1628,$301.4K
1629,$190.2K
1630,$343.1K
1631,$231.2K
1632,$268.6K
1633,$175.7K
1634,$200.6K
1635,$197.8K
1636,$157.4K
1637,$192.9K
1638,$235.8K
1639,$189.8K
1640,$256.7K
1641,$207.6K
1642,$257.7K
1643,$244.0K
1644,$233.3K
1645,$192.3K
1646,$157.3K
1647,$162.9K
1648,$143.8K
1649,$144.4K
1650,$134.9K
1651,$133.1K
1652,$97.0K
1653,$98.5K
1654,$158.4K
1655,$162.3K
1656,$154.3K
1657,$155.4K
1658,$156.7K
1659,$148.9K
1660,$148.4K
1661,$362.3K
1662,$346.4K
1663,$357.7K
1664,$346.0K
1665,$296.5K
1666,$319.9K
1667,$317.4K
1668,$322.0K
1669,$304.4K
1670,$323.5K
1671,$275.9K
1672,$349.1K
1673,$296.5K
1674,$254.1K
1675,$188.7K
1676,$190.7K
1677,$223.3K
1678,$360.8K
1679,$352.0K
1680,$345.7K
1681,$281.0K
1682,$312.3K
1683,$209.9K
1684,$187.5K
1685,$180.6K
1686,$168.4K
1687,$171.7K
1688,$207.4K
1689,$201.2K
1690,$201.3K
1691,$178.0K
1692,$279.8K
1693,$175.6K
1694,$195.6K
1695,$175.5K
1696,$279.4K
1697,$178.4K
1698,$313.7K
1699,$310.4K
1700,$280.3K
1701,$294.2K
1702,$230.8K
1703,$246.7K
1704,$305.8K
1705,$242.2K
1706,$349.6K
1707,$229.1K
1708,$225.6K
1709,$258.8K
1710,$240.4K
1711,$264.2K
1712,$266.5K
1713,$266.3K
1714,$243.0K
1715,$226.8K
1716,$181.1K
1717,$174.5K
1718,$145.1K
1719,$232.4K
1720,$245.3K
1721,$174.2K
1722,$131.8K
1723,$155.8K
1724,$232.1K
1725,$250.7K
1726,$199.4K
1727,$172.5K
1728,$201.4K
1729,$175.0K
1730,$175.2K
1731,$135.3K
1732,$139.0K
1733,$135.4K
1734,$140.1K
1735,$138.4K
1736,$127.9K
1737,$337.8K
1738,$245.0K
1739,$257.8K
1740,$195.9K
1741,$180.4K
1742,$176.4K
1743,$181.5K
1744,$326.7K
1745,$240.3K
1746,$259.3K
1747,$232.7K
1748,$218.4K
1749,$170.5K
1750,$149.2K
1751,$253.5K
1752,$134.2K
1753,$145.9K
1754,$249.0K
1755,$180.3K
1756,$134.0K
1757,$132.0K
1758,$165.2K
1759,$177.3K
1760,$161.7K
1761,$154.0K
1762,$187.1K
1763,$194.4K
1764,$132.4K
1765,$181.0K
1766,$178.5K
1767,$193.4K
1768,$142.3K
1769,$205.6K
1770,$141.4K
1771,$137.0K
1772,$154.0K
1773,$136.0K
1774,$137.4K
1775,$135.1K
1776,$125.4K
1777,$123.3K
1778,$143.2K
1779,$118.1K
1780,$193.8K
1781,$135.1K
1782,$107.2K
1783,$143.4K
1784,$98.2K
1785,$124.0K
1786,$159.5K
1787,$184.0K
1788,$66.8K
1789,$99.4K
1790,$94.2K
1791,$190.2K
1792,$164.4K
1793,$139.1K
1794,$147.0K
1795,$145.5K
1796,$123.9K
1797,$121.0K
1798,$129.5K
1799,$125.1K
1800,$134.2K
1801,$138.2K
1802,$165.5K
1803,$166.9K
1804,$149.8K
1805,$142.3K
1806,$135.3K
1807,$169.9K
1808,$118.1K
1809,$129.6K
1810,$157.8K
1811,$120.8K
1812,$115.5K
1813,$131.9K
1814,$113.1K
1815,$71.0K
1816,$109.2K
1817,$129.3K
1818,$158.9K
1819,$126.5K
1820,$87.6K
1821,$133.7K
1822,$159.8K
1823,$58.2K
1824,$145.8K
1825,$140.3K
1826,$113.7K
1827,$120.7K
1828,$149.5K
1829,$122.7K
1830,$162.3K
1831,$199.5K
1832,$112.3K
1833,$170.1K
1834,$140.9K
1835,$211.4K
1836,$140.7K
1837,$115.8K
1838,$149.1K
1839,$95.6K
1840,$159.7K
1841,$151.8K
1842,$90.4K
1843,$142.2K
1844,$144.4K
1845,$142.8K
1846,$152.6K
1847,$143.3K
1848,$66.5K
1849,$128.4K
1850,$135.4K
1851,$173.2K
1852,$138.0K
1853,$148.2K
1854,$181.1K
1855,$155.6K
1856,$251.2K
1857,$166.3K
1858,$141.0K
1859,$131.5K
1860,$158.6K
1861,$130.5K
1862,$294.5K
1863,$295.8K
1864,$295.8K
1865,$327.8K
1866,$334.6K
1867,$237.0K
1868,$324.3K
1869,$219.5K
1870,$266.5K
1871,$247.0K
1872,$179.0K
1873,$272.0K
1874,$146.1K
1875,$239.4K
1876,$217.7K
1877,$235.0K
1878,$230.3K
1879,$141.2K
1880,$145.3K
1881,$253.3K
1882,$269.1K
1883,$226.4K
1884,$244.0K
1885,$264.4K
1886,$318.7K
1887,$227.8K
1888,$292.5K
1889,$175.6K
1890,$140.6K
1891,$141.7K
1892,$126.1K
1893,$159.6K
1894,$129.6K
1895,$158.8K
1896,$126.4K
1897,$121.7K
1898,$118.8K
1899,$139.7K
1900,$159.2K
1901,$172.6K
1902,$145.5K
