Property ID,Sale Price
1461,$140884
1462,$192574
1463,$200133
1464,$190497
1465,$236605
1466,$176203
1467,$184122
1468,$172768
1469,$201016
1470,$154067
1471,$229810
1472,$99871
1473,$98167
1474,$155384
1475,$134286
1476,$349824
1477,$223279
1478,$292225
1479,$299880
1480,$490368
1481,$329404
1482,$230720
1483,$191365
1484,$185988
1485,$202467
1486,$209149
1487,$348657
1488,$232179
1489,$204817
1490,$286448
1491,$202864
1492,$106561
1493,$206026
1494,$318344
1495,$334357
1496,$264512
1497,$193766
1498,$178224
1499,$171251
1500,$150254
1501,$166146
1502,$167434
1503,$269560
1504,$254662
1505,$232491
1506,$210039
1507,$262762
1508,$224773
1509,$172938
1510,$163793
1511,$180995
1512,$207859
1513,$161624
1514,$239976
1515,$231118
1516,$177206
1517,$200465
1518,$158552
1519,$245457
1520,$162923
1521,$178325
1522,$181852
1523,$123966
1524,$142203
1525,$149806
1526,$144905
1527,$122440
1528,$138857
1529,$153057
1530,$194274
1531,$132265
1532,$134461
1533,$159247
1534,$130701
1535,$176493
1536,$127153
1537,$92896
1538,$202155
1539,$263457
1540,$128855
1541,$157500
1542,$165900
1543,$223413
1544,$115724
1545,$122055
1546,$141836
1547,$151736
1548,$141588
1549,$131321
1550,$153228
1551,$163465
1552,$159071
1553,$171034
1554,$115226
1555,$185815
1556,$98645
1557,$157355
1558,$115823
1559,$113408
1560,$160485
1561,$169207
1562,$137535
1563,$125804
1564,$215699
1565,$168156
1566,$258183
1567,$98280
1568,$233599
1569,$161453
1570,$155192
1571,$145271
1572,$177964
1573,$297189
1574,$139562
1575,$290498
1576,$230393
1577,$197244
1578,$162804
1579,$172260
1580,$202388
1581,$157725
1582,$134063
1583,$223709
1584,$233477
1585,$154945
1586,$102524
1587,$109666
1588,$182751
1589,$122298
1590,$145623
1591,$118343
1592,$138905
1593,$143179
1594,$211905
1595,$131047
1596,$245738
1597,$199337
1598,$211178
1599,$224436
1600,$208878
1601,$106268
1602,$123849
1603,$114613
1604,$309912
1605,$268349
1606,$178265
1607,$218574
1608,$213081
1609,$183597
1610,$156075
1611,$157403
1612,$195183
1613,$175480
1614,$154044
1615,$99274
1616,$74111
1617,$102696
1618,$131432
1619,$156111
1620,$176660
1621,$140497
1622,$159683
1623,$298857
1624,$232177
1625,$149941
1626,$198658
1627,$193896
1628,$319758
1629,$190627
1630,$245164
1631,$233461
1632,$255038
1633,$188323
1634,$184089
1635,$187368
1636,$161248
1637,$195249
1638,$215939
1639,$196840
1640,$262694
1641,$218461
1642,$242813
1643,$262250
1644,$245891
1645,$228172
1646,$183708
1647,$187832
1648,$143926
1649,$142878
1650,$125159
1651,$132559
1652,$100103
1653,$98858
1654,$153112
1655,$160009
1656,$147691
1657,$147587
1658,$158019
1659,$142056
1660,$170102
1661,$437510
1662,$386447
1663,$435503
1664,$249683
1665,$306270
1666,$347065
1667,$386683
1668,$324515
1669,$314564
1670,$334400
1671,$280025
1672,$277641
1673,$305155
1674,$232179
1675,$200490
1676,$200371
1677,$230648
1678,$259407
1679,$439686
1680,$373214
1681,$281232
1682,$312894
1683,$194156
1684,$204738
1685,$185212
1686,$192508
1687,$189571
1688,$200935
1689,$203519
1690,$207186
1691,$195153
1692,$296488
1693,$189067
1694,$183160
1695,$181223
1696,$287150
1697,$183921
1698,$354487
1699,$337609
1700,$257764
1701,$309479
1702,$240859
1703,$235292
1704,$281966
1705,$252499
1706,$255932
1707,$230792
1708,$206365
1709,$275039
1710,$232118
1711,$258532
1712,$277076
1713,$291218
1714,$214777
1715,$205263
1716,$198314
1717,$187222
1718,$146093
1719,$224795
1720,$242410
1721,$189887
1722,$149372
1723,$181601
1724,$215213
1725,$241957
1726,$189393
1727,$169157
1728,$198872
1729,$172937
1730,$170788
1731,$129950
1732,$136068
1733,$148852
1734,$136050
1735,$154417
1736,$125876
1737,$208323
1738,$222518
1739,$278097
1740,$203910
1741,$205061
1742,$166146
1743,$189791
1744,$307788
1745,$225290
1746,$252920
1747,$231758
1748,$240018
1749,$172794
1750,$170474
1751,$255267
1752,$135883
1753,$159902
