Property ID,Sale Price
1461,$140.9K
1462,$192.6K
1463,$200.1K
1464,$190.5K
1465,$236.6K
1466,$176.2K
1467,$184.1K
1468,$172.8K
1469,$201.0K
1470,$154.1K
1471,$229.8K
1472,$99.9K
1473,$98.2K
1474,$155.4K
1475,$134.3K
1476,$349.8K
1477,$223.3K
1478,$292.2K
1479,$299.9K
1480,$490.4K
1481,$329.4K
1482,$230.7K
1483,$191.4K
1484,$186.0K
1485,$202.5K
1486,$209.1K
1487,$348.7K
1488,$232.2K
1489,$204.8K
1490,$286.4K
1491,$202.9K
1492,$106.6K
1493,$206.0K
1494,$318.3K
1495,$334.4K
1496,$264.5K
1497,$193.8K
1498,$178.2K
1499,$171.3K
1500,$150.3K
1501,$166.1K
1502,$167.4K
1503,$269.6K
1504,$254.7K
1505,$232.5K
1506,$210.0K
1507,$262.8K
1508,$224.8K
1509,$172.9K
1510,$163.8K
1511,$181.0K
1512,$207.9K
1513,$161.6K
1514,$240.0K
1515,$231.1K
1516,$177.2K
1517,$200.5K
1518,$158.6K
1519,$245.5K
1520,$162.9K
1521,$178.3K
1522,$181.9K
1523,$124.0K
1524,$142.2K
1525,$149.8K
1526,$144.9K
1527,$122.4K
1528,$138.9K
1529,$153.1K
1530,$194.3K
1531,$132.3K
1532,$134.5K
1533,$159.2K
1534,$130.7K
1535,$176.5K
1536,$127.2K
1537,$92.9K
1538,$202.2K
1539,$263.5K
1540,$128.9K
1541,$157.5K
1542,$165.9K
1543,$223.4K
1544,$115.7K
1545,$122.1K
1546,$141.8K
1547,$151.7K
1548,$141.6K
1549,$131.3K
1550,$153.2K
1551,$163.5K
1552,$159.1K
1553,$171.0K
1554,$115.2K
1555,$185.8K
1556,$98.6K
1557,$157.4K
1558,$115.8K
1559,$113.4K
1560,$160.5K
1561,$169.2K
1562,$137.5K
1563,$125.8K
1564,$215.7K
1565,$168.2K
1566,$258.2K
1567,$98.3K
1568,$233.6K
1569,$161.5K
1570,$155.2K
1571,$145.3K
1572,$178.0K
1573,$297.2K
1574,$139.6K
1575,$290.5K
1576,$230.4K
1577,$197.2K
1578,$162.8K
1579,$172.3K
1580,$202.4K
1581,$157.7K
1582,$134.1K
1583,$223.7K
1584,$233.5K
1585,$154.9K
1586,$102.5K
1587,$109.7K
1588,$182.8K
1589,$122.3K
1590,$145.6K
1591,$118.3K
1592,$138.9K
1593,$143.2K
1594,$211.9K
1595,$131.0K
1596,$245.7K
1597,$199.3K
1598,$211.2K
1599,$224.4K
1600,$208.9K
1601,$106.3K
1602,$123.8K
1603,$114.6K
1604,$309.9K
1605,$268.3K
1606,$178.3K
1607,$218.6K
1608,$213.1K
1609,$183.6K
1610,$156.1K
1611,$157.4K
1612,$195.2K
1613,$175.5K
1614,$154.0K
1615,$99.3K
1616,$74.1K
1617,$102.7K
1618,$131.4K
1619,$156.1K
1620,$176.7K
1621,$140.5K
1622,$159.7K
1623,$298.9K
1624,$232.2K
1625,$149.9K
1626,$198.7K
1627,$193.9K
1628,$319.8K
1629,$190.6K
1630,$245.2K
1631,$233.5K
1632,$255.0K
1633,$188.3K
1634,$184.1K
1635,$187.4K
1636,$161.2K
1637,$195.2K
1638,$215.9K
1639,$196.8K
1640,$262.7K
1641,$218.5K
1642,$242.8K
1643,$262.2K
1644,$245.9K
1645,$228.2K
1646,$183.7K
1647,$187.8K
1648,$143.9K
1649,$142.9K
1650,$125.2K
1651,$132.6K
1652,$100.1K
1653,$98.9K
1654,$153.1K
1655,$160.0K
1656,$147.7K
1657,$147.6K
1658,$158.0K
1659,$142.1K
1660,$170.1K
1661,$437.5K
1662,$386.4K
1663,$435.5K
1664,$249.7K
1665,$306.3K
1666,$347.1K
1667,$386.7K
1668,$324.5K
1669,$314.6K
1670,$334.4K
1671,$280.0K
1672,$277.6K
1673,$305.2K
1674,$232.2K
1675,$200.5K
1676,$200.4K
1677,$230.6K
1678,$259.4K
1679,$439.7K
1680,$373.2K
1681,$281.2K
1682,$312.9K
1683,$194.2K
1684,$204.7K
1685,$185.2K
1686,$192.5K
1687,$189.6K
1688,$200.9K
1689,$203.5K
1690,$207.2K
1691,$195.2K
1692,$296.5K
1693,$189.1K
1694,$183.2K
1695,$181.2K
1696,$287.1K
1697,$183.9K
1698,$354.5K
1699,$337.6K
1700,$257.8K
1701,$309.5K
1702,$240.9K
1703,$235.3K
1704,$282.0K
1705,$252.5K
1706,$255.9K
1707,$230.8K
1708,$206.4K
1709,$275.0K
1710,$232.1K
1711,$258.5K
1712,$277.1K
1713,$291.2K
1714,$214.8K
1715,$205.3K
1716,$198.3K
1717,$187.2K
1718,$146.1K
1719,$224.8K
1720,$242.4K
1721,$189.9K
1722,$149.4K
1723,$181.6K
1724,$215.2K
1725,$242.0K
1726,$189.4K
1727,$169.2K
1728,$198.9K
1729,$172.9K
1730,$170.8K
1731,$129.9K
1732,$136.1K
1733,$148.9K
1734,$136.1K
1735,$154.4K
1736,$125.9K
1737,$208.3K
1738,$222.5K
1739,$278.1K
1740,$203.9K
1741,$205.1K
1742,$166.1K
1743,$189.8K
1744,$307.8K
1745,$225.3K
1746,$252.9K
1747,$231.8K
1748,$240.0K
1749,$172.8K
1750,$170.5K
1751,$255.3K
1752,$135.9K
1753,$159.9K
1754,$217.5K
1755,$209.4K
1756,$133.7K
1757,$128.9K
1758,$164.8K
1759,$188.1K
1760,$178.3K
1761,$182.0K
1762,$192.3K
1763,$200.5K
1764,$136.0K
1765,$201.9K
1766,$236.1K
1767,$276.4K
1768,$172.4K
1769,$198.6K
1770,$158.9K
1771,$143.2K
1772,$161.5K
1773,$146.9K
1774,$167.4K
1775,$145.5K
1776,$147.0K
1777,$126.5K
1778,$171.9K
1779,$125.8K
1780,$194.9K
1781,$149.2K
1782,$113.6K
1783,$148.3K
1784,$119.2K
1785,$138.9K
1786,$207.2K
1787,$183.3K
1788,$102.2K
1789,$138.7K
1790,$117.9K
1791,$205.6K
1792,$170.7K
1793,$169.3K
1794,$161.0K
1795,$150.7K
1796,$145.3K
1797,$130.3K
1798,$135.9K
1799,$127.3K
1800,$139.4K
1801,$144.5K
1802,$149.1K
1803,$161.1K
1804,$171.9K
1805,$172.7K
1806,$131.9K
1807,$168.5K
1808,$141.6K
1809,$141.8K
1810,$154.2K
1811,$120.6K
1812,$119.0K
1813,$129.0K
1814,$115.8K
1815,$76.4K
1816,$115.6K
1817,$127.9K
1818,$171.0K
1819,$137.3K
1820,$76.8K
1821,$138.3K
1822,$156.4K
1823,$67.4K
1824,$156.7K
1825,$135.8K
1826,$119.0K
1827,$121.6K
1828,$152.0K
1829,$140.3K
1830,$158.6K
1831,$189.6K
1832,$108.4K
1833,$155.9K
1834,$139.0K
1835,$192.2K
1836,$148.1K
1837,$120.2K
1838,$144.3K
1839,$107.4K
1840,$183.6K
1841,$181.4K
1842,$92.1K
1843,$145.6K
1844,$151.5K
1845,$163.4K
1846,$177.1K
1847,$166.5K
1848,$81.3K
1849,$142.6K
1850,$138.3K
1851,$169.6K
1852,$149.6K
1853,$147.7K
1854,$189.8K
1855,$161.5K
1856,$249.8K
1857,$190.4K
1858,$154.8K
1859,$139.0K
1860,$183.6K
1861,$139.0K
1862,$449.7K
1863,$446.3K
1864,$446.3K
1865,$305.9K
1866,$337.7K
1867,$236.3K
1868,$360.4K
1869,$221.9K
1870,$264.2K
1871,$265.5K
1872,$184.0K
1873,$240.8K
1874,$149.3K
1875,$246.0K
1876,$195.1K
1877,$258.4K
1878,$225.2K
1879,$147.5K
1880,$140.8K
1881,$266.4K
1882,$300.5K
1883,$205.0K
1884,$232.2K
1885,$298.3K
1886,$368.5K
1887,$228.5K
1888,$301.2K
1889,$179.5K
1890,$143.3K
1891,$140.9K
1892,$122.0K
1893,$190.1K
1894,$158.3K
1895,$169.2K
1896,$140.5K
1897,$135.8K
1898,$134.3K
1899,$166.5K
1900,$175.7K
1901,$175.5K
1902,$177.5K
1903,$235.7K
1904,$155.0K
1905,$201.6K
1906,$182.5K
1907,$214.0K
1908,$109.5K
1909,$141.9K
1910,$127.3K
1911,$204.4K
1912,$338.3K
1913,$185.7K
1914,$92.8K
1915,$324.5K
1916,$95.0K
1917,$283.8K
1918,$147.6K
1919,$186.4K
1920,$164.5K
1921,$257.6K
1922,$332.6K
1923,$224.3K
1924,$241.7K
1925,$224.6K
1926,$250.0K
1927,$159.8K
1928,$177.2K
1929,$127.9K
1930,$135.8K
1931,$146.0K
1932,$140.5K
1933,$190.1K
1934,$179.1K
1935,$177.7K
1936,$197.8K
1937,$184.9K
1938,$191.3K
1939,$254.8K
1940,$231.8K
1941,$180.4K
1942,$188.4K
1943,$248.0K
1944,$349.6K
1945,$422.1K
1946,$172.4K
1947,$330.5K
1948,$187.6K
1949,$256.6K
1950,$198.7K
1951,$324.0K
1952,$250.2K
1953,$200.2K
1954,$205.1K
1955,$141.0K
1956,$438.5K
1957,$176.4K
1958,$343.7K
1959,$158.9K
1960,$138.5K
1961,$123.2K
1962,$101.7K
1963,$106.3K
1964,$103.4K
1965,$150.6K
1966,$156.7K
1967,$276.0K
1968,$221.9K
1969,$463.6K
1970,$456.2K
1971,$459.3K
1972,$403.9K
1973,$271.6K
1974,$338.2K
1975,$271.5K
1976,$272.6K
1977,$359.0K
1978,$347.3K
1979,$328.0K
1980,$219.3K
1981,$333.6K
1982,$250.6K
1983,$230.7K
1984,$175.5K
1985,$239.0K
1986,$231.1K
1987,$199.3K
1988,$186.6K
1989,$205.5K
1990,$229.6K
1991,$234.2K
1992,$232.6K
1993,$195.6K
1994,$268.7K
1995,$190.8K
1996,$299.6K
1997,$365.2K
1998,$229.3K
1999,$268.9K
2000,$323.1K
2001,$265.8K
2002,$258.8K
2003,$276.6K
2004,$258.3K
2005,$251.8K
2006,$236.0K
2007,$240.3K
2008,$228.0K
2009,$184.6K
2010,$206.9K
2011,$162.1K
2012,$191.0K
2013,$185.8K
2014,$192.8K
2015,$213.6K
2016,$185.8K
2017,$212.0K
2018,$138.9K
2019,$144.5K
2020,$141.4K
2021,$124.9K
2022,$213.8K
2023,$153.5K
2024,$247.5K
2025,$372.2K
2026,$191.8K
2027,$154.9K
2028,$167.0K
2029,$151.9K
2030,$296.0K
2031,$301.1K
2032,$304.5K
2033,$293.0K
2034,$178.3K
2035,$210.9K
2036,$206.3K
2037,$219.8K
2038,$329.5K
2039,$255.1K
2040,$344.4K
2041,$289.3K
2042,$212.4K
2043,$204.6K
2044,$201.5K
2045,$220.4K
2046,$158.0K
2047,$161.8K
2048,$143.2K
2049,$175.4K
2050,$200.9K
2051,$127.4K
2052,$144.6K
2053,$168.3K
2054,$110.1K
2055,$183.3K
2056,$154.1K
2057,$139.0K
2058,$231.1K
2059,$145.2K
2060,$209.9K
2061,$224.6K
2062,$153.1K
2063,$141.8K
2064,$146.7K
2065,$146.9K
2066,$190.6K
2067,$147.1K
2068,$190.8K
2069,$99.6K
2070,$119.4K
2071,$121.7K
2072,$163.1K
2073,$156.8K
2074,$204.5K
2075,$167.7K
2076,$140.5K
2077,$167.6K
2078,$138.0K
2079,$141.0K
2080,$130.2K
2081,$137.1K
2082,$163.5K
2083,$152.4K
2084,$120.7K
2085,$128.5K
2086,$121.6K
2087,$130.3K
2088,$125.4K
2089,$95.2K
2090,$153.6K
2091,$142.4K
2092,$125.6K
2093,$161.8K
2094,$171.2K
2095,$169.9K
2096,$97.8K
2097,$125.2K
2098,$148.6K
2099,$87.8K
2100,$116.7K
2101,$136.6K
2102,$159.0K
2103,$115.1K
2104,$174.4K
2105,$145.5K
2106,$97.1K
2107,$253.0K
2108,$130.3K
2109,$123.4K
2110,$140.4K
2111,$168.4K
2112,$157.0K
2113,$134.2K
2114,$126.7K
2115,$164.7K
2116,$139.7K
2117,$146.1K
2118,$135.5K
2119,$126.5K
2120,$126.4K
2121,$100.5K
2122,$115.6K
2123,$105.5K
2124,$200.2K
2125,$166.5K
2126,$151.3K
2127,$181.6K
2128,$140.9K
2129,$125.5K
2130,$151.1K
2131,$183.6K
2132,$130.8K
2133,$134.0K
2134,$129.6K
2135,$117.8K
2136,$96.7K
2137,$127.6K
2138,$156.0K
2139,$166.2K
2140,$154.9K
2141,$146.4K
2142,$145.2K
2143,$135.8K
2144,$188.5K
2145,$154.4K
2146,$180.3K
2147,$192.4K
2148,$146.8K
2149,$145.9K
2150,$233.5K
2151,$148.3K
2152,$221.0K
2153,$200.2K
2154,$140.9K
2155,$147.3K
2156,$347.6K
2157,$251.9K
2158,$261.2K
2159,$232.5K
2160,$173.1K
2161,$232.2K
2162,$252.0K
2163,$313.5K
2164,$256.4K
2165,$195.7K
2166,$147.1K
2167,$261.7K
2168,$199.7K
2169,$205.9K
2170,$236.3K
2171,$157.6K
2172,$151.3K
2173,$178.9K
2174,$271.8K
2175,$354.7K
2176,$345.2K
2177,$262.4K
2178,$231.8K
2179,$154.9K
2180,$100.4K
2181,$201.5K
2182,$221.0K
2183,$202.9K
2184,$138.5K
2185,$148.1K
2186,$172.3K
2187,$162.9K
2188,$174.7K
2189,$245.4K
2190,$99.8K
2191,$101.0K
2192,$113.4K
2193,$141.0K
2194,$122.0K
2195,$136.3K
2196,$132.9K
2197,$135.1K
2198,$180.8K
2199,$186.5K
2200,$152.0K
2201,$158.4K
2202,$225.5K
2203,$152.0K
2204,$198.7K
2205,$125.7K
2206,$161.5K
2207,$250.8K
2208,$266.2K
2209,$230.8K
2210,$122.9K
2211,$135.8K
2212,$124.9K
2213,$121.4K
2214,$138.3K
2215,$121.4K
2216,$174.3K
2217,$116.5K
2218,$105.7K
2219,$103.6K
2220,$98.0K
2221,$324.5K
2222,$293.3K
2223,$299.2K
2224,$211.0K
2225,$145.5K
2226,$232.9K
2227,$225.8K
2228,$290.9K
2229,$234.5K
2230,$157.5K
2231,$186.9K
2232,$187.1K
2233,$208.8K
2234,$288.8K
2235,$247.2K
2236,$283.0K
2237,$406.2K
2238,$257.9K
2239,$133.6K
2240,$198.6K
2241,$179.6K
2242,$138.3K
2243,$132.1K
2244,$113.1K
2245,$113.6K
2246,$163.7K
2247,$113.9K
2248,$130.8K
2249,$138.2K
2250,$155.2K
2251,$138.5K
2252,$203.1K
2253,$162.1K
2254,$177.5K
2255,$204.4K
2256,$204.6K
2257,$204.2K
2258,$186.2K
2259,$176.5K
2260,$181.2K
2261,$232.1K
2262,$264.9K
2263,$360.3K
2264,$450.1K
2265,$192.3K
2266,$316.7K
2267,$443.5K
2268,$407.0K
2269,$167.8K
2270,$213.9K
2271,$264.7K
2272,$221.0K
2273,$179.3K
2274,$206.7K
2275,$177.9K
2276,$211.1K
2277,$207.4K
2278,$152.4K
2279,$146.9K
2280,$142.7K
2281,$172.2K
2282,$216.9K
2283,$108.5K
2284,$113.5K
2285,$158.0K
2286,$134.4K
2287,$345.4K
2288,$238.1K
2289,$388.6K
2290,$442.4K
2291,$314.2K
2292,$456.5K
2293,$247.3K
2294,$388.8K
2295,$250.4K
2296,$293.0K
2297,$294.8K
2298,$316.8K
2299,$344.3K
2300,$348.3K
2301,$264.4K
2302,$240.2K
2303,$237.8K
2304,$242.7K
2305,$203.5K
2306,$199.7K
2307,$192.4K
2308,$230.9K
2309,$299.5K
2310,$237.5K
2311,$227.0K
2312,$165.3K
2313,$184.8K
2314,$180.1K
