Property ID,Sale Price
1461,$95974
1462,$157750
1463,$155682
1464,$173295
1465,$203498
1466,$156166
1467,$158524
1468,$149779
1469,$198753
1470,$108714
1471,$171634
1472,$93615
1473,$84756
1474,$134200
1475,$96253
1476,$331043
1477,$265144
1478,$299253
1479,$302016
1480,$418529
1481,$304647
1482,$225957
1483,$165304
1484,$162707
1485,$200202
1486,$194059
1487,$319342
1488,$199964
1489,$195899
1490,$211227
1491,$204296
1492,$81590
1493,$206475
1494,$316835
1495,$285301
1496,$219955
1497,$150579
1498,$174024
1499,$162730
1500,$147052
1501,$184027
1502,$140008
1503,$269339
1504,$233411
1505,$211481
1506,$176091
1507,$230105
1508,$187785
1509,$156023
1510,$142377
1511,$143873
1512,$162830
1513,$135394
1514,$150325
1515,$171449
1516,$152124
1517,$154446
1518,$106364
1519,$212488
1520,$129568
1521,$121977
1522,$177492
1523,$89318
1524,$89051
1525,$106465
1526,$107093
1527,$87904
1528,$122396
1529,$145987
1530,$200081
1531,$136322
1532,$95285
1533,$152760
1534,$107077
1535,$132463
1536,$88472
1537,$42216
1538,$162318
1539,$198679
1540,$126089
1541,$126335
1542,$132157
1543,$184113
1544,$85418
1545,$123150
1546,$152752
1547,$147415
1548,$142063
1549,$126697
1550,$143440
1551,$108300
1552,$147302
1553,$153459
1554,$107189
1555,$142574
1556,$62507
1557,$94783
1558,$101202
1559,$105296
1560,$133150
1561,$117379
1562,$134965
1563,$122553
1564,$136566
1565,$141147
1566,$233081
1567,$61319
1568,$243405
1569,$111502
1570,$147060
1571,$86854
1572,$133235
1573,$235170
1574,$139783
1575,$240084
1576,$229752
1577,$181782
1578,$132987
1579,$125042
1580,$182782
1581,$146809
1582,$128837
1583,$273482
1584,$212388
1585,$138510
1586,$36415
1587,$94243
1588,$163147
1589,$77722
1590,$129888
1591,$90623
1592,$97605
1593,$131443
1594,$128256
1595,$121203
1596,$228577
1597,$195736
1598,$209583
1599,$187052
1600,$182421
1601,$35176
1602,$118319
1603,$72179
1604,$266539
1605,$234679
1606,$147972
1607,$160469
1608,$209012
1609,$188146
1610,$137648
1611,$130643
1612,$163721
1613,$140506
1614,$135682
1615,$77123
1616,$64146
1617,$65348
1618,$115523
1619,$139993
1620,$165568
1621,$119019
1622,$152145
1623,$268211
1624,$207671
1625,$111973
1626,$174091
1627,$170616
1628,$275925
1629,$173284
1630,$307690
1631,$251565
1632,$237443
1633,$183246
1634,$177995
1635,$175683
1636,$142779
1637,$163366
1638,$179753
1639,$155295
1640,$230321
1641,$161223
1642,$244954
1643,$206919
