Property ID,Sale Price
1461,$96.0K
1462,$157.8K
1463,$155.7K
1464,$173.3K
1465,$203.5K
1466,$156.2K
1467,$158.5K
1468,$149.8K
1469,$198.8K
1470,$108.7K
1471,$171.6K
1472,$93.6K
1473,$84.8K
1474,$134.2K
1475,$96.3K
1476,$331.0K
1477,$265.1K
1478,$299.3K
1479,$302.0K
1480,$418.5K
1481,$304.6K
1482,$226.0K
1483,$165.3K
1484,$162.7K
1485,$200.2K
1486,$194.1K
1487,$319.3K
1488,$200.0K
1489,$195.9K
1490,$211.2K
1491,$204.3K
1492,$81.6K
1493,$206.5K
1494,$316.8K
1495,$285.3K
1496,$220.0K
1497,$150.6K
1498,$174.0K
1499,$162.7K
1500,$147.1K
1501,$184.0K
1502,$140.0K
1503,$269.3K
1504,$233.4K
1505,$211.5K
1506,$176.1K
1507,$230.1K
1508,$187.8K
1509,$156.0K
1510,$142.4K
1511,$143.9K
1512,$162.8K
1513,$135.4K
1514,$150.3K
1515,$171.4K
1516,$152.1K
1517,$154.4K
1518,$106.4K
1519,$212.5K
1520,$129.6K
1521,$122.0K
1522,$177.5K
1523,$89.3K
1524,$89.1K
1525,$106.5K
1526,$107.1K
1527,$87.9K
1528,$122.4K
1529,$146.0K
1530,$200.1K
1531,$136.3K
1532,$95.3K
1533,$152.8K
1534,$107.1K
1535,$132.5K
1536,$88.5K
1537,$42.2K
1538,$162.3K
1539,$198.7K
1540,$126.1K
1541,$126.3K
1542,$132.2K
1543,$184.1K
1544,$85.4K
1545,$123.2K
1546,$152.8K
1547,$147.4K
1548,$142.1K
1549,$126.7K
1550,$143.4K
1551,$108.3K
1552,$147.3K
1553,$153.5K
1554,$107.2K
1555,$142.6K
1556,$62.5K
1557,$94.8K
1558,$101.2K
1559,$105.3K
1560,$133.2K
1561,$117.4K
1562,$135.0K
1563,$122.6K
1564,$136.6K
1565,$141.1K
1566,$233.1K
1567,$61.3K
1568,$243.4K
1569,$111.5K
1570,$147.1K
1571,$86.9K
1572,$133.2K
1573,$235.2K
1574,$139.8K
1575,$240.1K
1576,$229.8K
1577,$181.8K
1578,$133.0K
1579,$125.0K
1580,$182.8K
1581,$146.8K
1582,$128.8K
1583,$273.5K
1584,$212.4K
1585,$138.5K
1586,$36.4K
1587,$94.2K
1588,$163.1K
1589,$77.7K
1590,$129.9K
1591,$90.6K
1592,$97.6K
1593,$131.4K
1594,$128.3K
1595,$121.2K
1596,$228.6K
1597,$195.7K
1598,$209.6K
1599,$187.1K
1600,$182.4K
1601,$35.2K
1602,$118.3K
1603,$72.2K
1604,$266.5K
1605,$234.7K
1606,$148.0K
1607,$160.5K
1608,$209.0K
1609,$188.1K
1610,$137.6K
1611,$130.6K
1612,$163.7K
1613,$140.5K
1614,$135.7K
1615,$77.1K
1616,$64.1K
1617,$65.3K
1618,$115.5K
1619,$140.0K
1620,$165.6K
1621,$119.0K
1622,$152.1K
1623,$268.2K
1624,$207.7K
1625,$112.0K
1626,$174.1K
1627,$170.6K
1628,$275.9K
1629,$173.3K
1630,$307.7K
1631,$251.6K
1632,$237.4K
1633,$183.2K
1634,$178.0K
1635,$175.7K
1636,$142.8K
1637,$163.4K
1638,$179.8K
1639,$155.3K
1640,$230.3K
1641,$161.2K
1642,$245.0K
1643,$206.9K
1644,$228.2K
1645,$190.1K
1646,$163.5K
