Property ID,Sale Price
1461,$108455
1462,$150631
1463,$184595
1464,$185702
1465,$225334
1466,$168502
1467,$164604
1468,$162941
1469,$185926
1470,$117222
1471,$158264
1472,$100271
1473,$98802
1474,$146286
1475,$99755
1476,$336184
1477,$289244
1478,$300165
1479,$302021
1480,$415964
1481,$327718
1482,$244544
1483,$160311
1484,$157853
1485,$184241
1486,$187333
1487,$344802
1488,$187922
1489,$209699
1490,$224244
1491,$200581
1492,$103768
1493,$213764
1494,$342034
1495,$302475
1496,$219907
1497,$177722
1498,$170767
1499,$161895
1500,$169629
1501,$207867
1502,$154592
1503,$276713
1504,$231345
1505,$214931
1506,$181454
1507,$234415
1508,$195273
1509,$155689
1510,$153502
1511,$149590
1512,$166812
1513,$147866
1514,$161572
1515,$211107
1516,$165336
1517,$169658
1518,$113543
1519,$203419
1520,$135146
1521,$134003
1522,$190760
1523,$107630
1524,$103188
1525,$106572
1526,$106468
1527,$107217
1528,$135097
1529,$140011
1530,$202678
1531,$182095
1532,$99238
1533,$137294
1534,$125452
1535,$157244
1536,$105562
1537,$86552
1538,$146897
1539,$185395
1540,$131181
1541,$140010
1542,$144666
1543,$184989
1544,$86946
1545,$116685
1546,$129891
1547,$154878
1548,$124421
1549,$124947
1550,$137950
1551,$116560
1552,$145404
1553,$148435
1554,$121440
1555,$163293
1556,$109319
1557,$102068
1558,$99166
1559,$119377
1560,$132094
1561,$131400
1562,$126249
1563,$117238
1564,$152897
1565,$145865
1566,$221687
1567,$81470
1568,$249304
1569,$147541
1570,$130478
1571,$119306
1572,$147823
1573,$267635
1574,$137457
1575,$228226
1576,$235459
1577,$178965
1578,$159502
1579,$165645
1580,$195561
1581,$161869
1582,$134230
1583,$275087
1584,$211944
1585,$151912
1586,$79142
1587,$100864
1588,$161812
1589,$111984
1590,$132863
1591,$96038
1592,$137244
1593,$116602
1594,$137541
1595,$136134
1596,$231576
1597,$209278
1598,$222430
1599,$158879
1600,$148540
1601,$61611
1602,$133823
1603,$91594
1604,$274437
1605,$212307
1606,$145968
1607,$146558
1608,$212819
1609,$194399
1610,$177139
1611,$145405
1612,$160449
1613,$154404
1614,$138669
1615,$91276
1616,$82588
1617,$98179
1618,$113898
1619,$128792
1620,$170484
1621,$136381
1622,$144754
1623,$237040
1624,$205679
1625,$107738
1626,$177892
1627,$185436
1628,$260771
1629,$182233
1630,$344495
1631,$274006
1632,$261971
1633,$176228
1634,$184360
1635,$174081
1636,$142289
1637,$196524
1638,$198025
1639,$181690
1640,$236266
1641,$187914
1642,$242259
1643,$222233
1644,$221620
1645,$220384
1646,$159614
1647,$147042
1648,$116649
1649,$121931
1650,$115333
1651,$117420
1652,$103784
1653,$98473
1654,$146612
1655,$131518
1656,$143956
1657,$146400
1658,$146344
1659,$110759
1660,$161047
1661,$395637
1662,$356661
1663,$346627
1664,$506839
1665,$289764
1666,$331552
1667,$369144
1668,$327803
1669,$301546
1670,$313549
1671,$300378
1672,$369940
1673,$314299
1674,$278737
1675,$249790
1676,$248263
1677,$250804
1678,$422911
1679,$353675
1680,$308283
1681,$254777
1682,$321027
1683,$228281
1684,$174654
1685,$176320
1686,$165844
1687,$169336
1688,$188582
1689,$184396
1690,$185858
1691,$177598
1692,$227696
1693,$178904
1694,$181659
1695,$167773
1696,$279293
1697,$168655
1698,$347610
1699,$337022
1700,$291705
1701,$299426
1702,$205585
1703,$199014
1704,$239234
1705,$215517
1706,$308175
1707,$211874
1708,$196809
1709,$240821
1710,$218486
1711,$259247
1712,$258948
1713,$237639
1714,$211226
1715,$207754
1716,$163865
1717,$167724
1718,$137470
1719,$212297
1720,$222909
1721,$159320
1722,$132163
1723,$163154
1724,$209118
1725,$243059
1726,$184797
1727,$172531
1728,$179048
1729,$177950
1730,$157266
1731,$115865
1732,$114311
1733,$104962
1734,$111671
1735,$115328
1736,$99995
1737,$290600
1738,$272911
1739,$255543
1740,$226659
1741,$198623
1742,$186970
1743,$187516
1744,$275234
1745,$218506
1746,$230364
1747,$218597
1748,$236142
1749,$152172
1750,$148399
1751,$244513
1752,$109561
1753,$143968
1754,$204285
1755,$188429
1756,$136616
1757,$104575
1758,$149736
1759,$160392
1760,$161390
1761,$161641
1762,$176607
1763,$187288
1764,$103347
1765,$160537
1766,$180383
1767,$210803
1768,$128915
1769,$155145
1770,$139265
1771,$134945
1772,$120648
1773,$123126
1774,$162250
1775,$140705
1776,$132650
1777,$98195
1778,$136969
1779,$116964
1780,$172648
1781,$114560
1782,$78788
1783,$138297
1784,$108527
1785,$103295
1786,$142120
1787,$163504
1788,$58826
1789,$94547
1790,$90952
1791,$199345
1792,$146403
1793,$136728
1794,$145643
1795,$132764
1796,$140501
1797,$132488
1798,$128129
1799,$96008
1800,$148375
1801,$124101
1802,$131033
1803,$160276
1804,$120767
1805,$134130
1806,$127635
1807,$145714
1808,$134165
1809,$122985
1810,$141461
1811,$89533
1812,$105274
1813,$114435
1814,$88462
1815,$51971
1816,$85938
1817,$120193
1818,$145356
1819,$131991
1820,$70966
1821,$113681
1822,$154294
1823,$68375
1824,$139503
1825,$146865
1826,$121963
1827,$109870
1828,$139403
1829,$140324
1830,$143575
1831,$155197
1832,$124604
1833,$149973
1834,$136099
1835,$146399
1836,$123422
1837,$115410
1838,$109515
1839,$86974
1840,$135126
1841,$136020
1842,$108758
1843,$135910
1844,$154726
1845,$148330
1846,$157913
1847,$188499
1848,$48945
1849,$136970
1850,$118753
1851,$148419
1852,$115286
1853,$114509
1854,$157610
1855,$171319
1856,$215943
1857,$193074
1858,$152784
1859,$125128
1860,$164350
1861,$124083
1862,$284499
1863,$279596
1864,$279621
1865,$292538
1866,$268139
1867,$205647
1868,$274676
1869,$200331
1870,$212413
1871,$228186
1872,$185711
1873,$239574
1874,$153638
1875,$209466
1876,$208409
1877,$199524
1878,$205270
1879,$155320
1880,$134203
1881,$232099
1882,$243206
1883,$184973
1884,$196089
1885,$235138
1886,$253783
1887,$216904
1888,$247311
1889,$179262
1890,$119263
1891,$137461
1892,$96418
1893,$139429
1894,$119933
1895,$154148
1896,$124334
1897,$131450
1898,$112709
1899,$162300
1900,$168902
1901,$192676
1902,$174956
1903,$213313
1904,$167130
1905,$199167
1906,$181946
1907,$251445
1908,$102086
1909,$136002
1910,$114854
1911,$236391
1912,$289511
1913,$162292
1914,$67786
1915,$303318
1916,$73786
1917,$232341
1918,$136280
1919,$173659
1920,$153725
1921,$310005
1922,$281733
1923,$244919
1924,$241085
1925,$209583
1926,$322341
1927,$119308
1928,$165937
1929,$111267
1930,$131066
1931,$141864
1932,$139184
1933,$179084
1934,$179387
1935,$180761
1936,$194074
1937,$185061
1938,$159356
1939,$284638
1940,$223881
1941,$172328
1942,$184317
1943,$247630
1944,$351399
1945,$361121
1946,$184865
1947,$298730
1948,$173578
1949,$199092
1950,$164853
1951,$247507
1952,$201689
1953,$197360
1954,$193797
1955,$131843
1956,$281017
1957,$147640
1958,$258856
1959,$137057
1960,$105142
1961,$114510
1962,$95774
1963,$102045
1964,$105138
1965,$137328
1966,$125237
1967,$322764
1968,$380318
1969,$345836
1970,$379336
1971,$410807
1972,$357428
1973,$317028
1974,$327329
1975,$421377
1976,$299594
1977,$370093
1978,$339396
1979,$314114
1980,$235314
1981,$326655
1982,$246671
1983,$233620
1984,$232002
1985,$214289
1986,$200267
1987,$202022
1988,$167425
1989,$185987
1990,$205308
1991,$271668
1992,$229309
1993,$170115
1994,$234468
1995,$180853
1996,$318890
1997,$312761
1998,$326650
1999,$301836
2000,$334333
2001,$322310
2002,$209024
2003,$224605
2004,$276089
2005,$190012
2006,$219256
2007,$238360
2008,$248163
2009,$196943
2010,$200717
2011,$153962
2012,$167161
2013,$183221
2014,$188013
2015,$233619
2016,$191987
2017,$189699
2018,$125912
2019,$121606
2020,$95036
2021,$106735
2022,$242448
2023,$140991
2024,$330619
2025,$356689
2026,$159872
2027,$157992
2028,$160622
2029,$186579
2030,$236688
2031,$213472
2032,$211928
2033,$227365
2034,$180104
2035,$241150
2036,$199903
2037,$202973
2038,$263376
2039,$245967
2040,$332380
2041,$235459
2042,$209496
2043,$168555
2044,$170196
2045,$180285
2046,$125634
2047,$135840
2048,$131186
2049,$122728
2050,$164289
2051,$99520
2052,$122215
2053,$132510
2054,$100580
2055,$146612
2056,$142541
2057,$113795
2058,$206017
2059,$140863
2060,$161494
2061,$168891
2062,$119762
2063,$110434
2064,$119512
2065,$125921
2066,$173881
2067,$144371
2068,$125788
2069,$78255
2070,$109639
2071,$99319
2072,$137521
2073,$127351
2074,$165136
2075,$156396
2076,$105071
2077,$152667
2078,$128277
2079,$121869
2080,$101751
2081,$121273
2082,$137896
2083,$144268
2084,$88267
2085,$100486
2086,$138521
2087,$123051
2088,$122466
2089,$73420
2090,$128057
2091,$103050
2092,$134307
2093,$130899
2094,$111506
2095,$152647
2096,$89751
2097,$96822
2098,$139379
2099,$53291
2100,$116703
2101,$128412
2102,$124061
2103,$108933
2104,$150087
2105,$125517
2106,$86948
2107,$203893
2108,$107466
2109,$107044
2110,$127051
2111,$142967
2112,$139904
2113,$124780
2114,$124335
2115,$154865
2116,$128270
2117,$141466
2118,$122134
2119,$103179
2120,$134774
2121,$84994
2122,$110873
2123,$94756
2124,$171678
2125,$137893
2126,$164727
2127,$146656
2128,$122608
2129,$85878
2130,$130181
2131,$135801
2132,$117873
2133,$120334
2134,$121479
2135,$95440
2136,$79187
2137,$110860
2138,$132154
2139,$150525
2140,$129592
2141,$157633
2142,$128853
2143,$156004
2144,$138023
2145,$129974
2146,$163532
2147,$195539
2148,$137977
2149,$142066
2150,$214322
2151,$131626
2152,$190027
2153,$184837
2154,$100911
2155,$143247
2156,$263524
2157,$215833
2158,$248594
2159,$216869
2160,$204360
2161,$224066
2162,$332066
2163,$302448
2164,$245358
2165,$194719
2166,$154781
2167,$221159
2168,$202711
2169,$200446
2170,$209425
2171,$162355
2172,$151567
2173,$191396
2174,$219917
2175,$267872
2176,$290175
2177,$247961
2178,$214717
2179,$147381
2180,$217879
2181,$192139
2182,$207791
2183,$185361
2184,$129735
2185,$147827
2186,$145204
2187,$168967
2188,$168477
2189,$282611
2190,$70909
2191,$66813
2192,$88550
2193,$110670
2194,$96938
2195,$114095
2196,$105022
2197,$126171
2198,$133734
2199,$158068
2200,$163031
2201,$164668
2202,$194505
2203,$187751
2204,$202836
2205,$149157
2206,$172541
2207,$244863
2208,$242119
2209,$251910
2210,$122283
2211,$116976
2212,$115698
2213,$89099
2214,$153896
2215,$99043
2216,$152446
2217,$68996
2218,$98186
2219,$101285
2220,$85776
2221,$303714
2222,$272921
2223,$253149
2224,$195662
2225,$127942
2226,$182160
2227,$200034
2228,$267629
2229,$270561
2230,$177068
2231,$250578
2232,$176139
2233,$195047
2234,$239333
2235,$221511
2236,$248894
2237,$285361
2238,$194384
2239,$115475
2240,$152817
2241,$155949
2242,$125950
2243,$137442
2244,$128683
2245,$133965
2246,$130176
2247,$112104
2248,$112583
2249,$112312
2250,$118206
2251,$169644
2252,$170191
2253,$171608
2254,$191474
2255,$194995
2256,$165469
2257,$205200
2258,$143906
2259,$179216
2260,$158516
2261,$240058
2262,$270151
2263,$355240
2264,$442767
2265,$180619
2266,$285890
2267,$378991
2268,$493949
2269,$152325
2270,$180042
2271,$196742
2272,$228143
2273,$148903
2274,$179491
2275,$158482
2276,$194402
2277,$177019
2278,$148840
2279,$112235
2280,$102633
2281,$137613
2282,$163602
2283,$110252
2284,$97918
2285,$123403
2286,$118905
2287,$361446
2288,$319444
2289,$349179
2290,$409168
2291,$345370
2292,$364986
2293,$411589
2294,$360214
2295,$443106
2296,$301722
2297,$357678
2298,$329262
2299,$352796
2300,$331515
2301,$342757
2302,$279758
2303,$266521
2304,$286721
2305,$270337
2306,$249200
2307,$253641
2308,$267754
2309,$271528
2310,$255679
2311,$249531
2312,$184457
2313,$174264
2314,$207650
2315,$189473
2316,$215165
2317,$185295
2318,$203632
2319,$195254
2320,$176148
2321,$224490
2322,$203001
2323,$193989
2324,$181365
2325,$207940
2326,$171921
2327,$195689
2328,$211397
2329,$187800
2330,$176667
2331,$360443
2332,$369518
2333,$322328
2334,$299254
2335,$300844
2336,$331938
2337,$179178
2338,$233084
2339,$196562
2340,$317866
2341,$193464
2342,$201936
2343,$201796
2344,$194576
2345,$192252
2346,$215525
2347,$207164
2348,$251736
2349,$194811
2350,$281718
2351,$248242
2352,$239476
2353,$270676
2354,$159454
2355,$141867
2356,$164746
2357,$180900
2358,$207078
2359,$131948
2360,$101491
2361,$123624
2362,$273471
2363,$156419
2364,$188632
2365,$201431
2366,$200655
2367,$221329
2368,$212645
2369,$213717
