Property ID,Sale Price
1461,$108.5K
1462,$150.6K
1463,$184.6K
1464,$185.7K
1465,$225.3K
1466,$168.5K
1467,$164.6K
1468,$162.9K
1469,$185.9K
1470,$117.2K
1471,$158.3K
1472,$100.3K
1473,$98.8K
1474,$146.3K
1475,$99.8K
1476,$336.2K
1477,$289.2K
1478,$300.2K
1479,$302.0K
1480,$416.0K
1481,$327.7K
1482,$244.5K
1483,$160.3K
1484,$157.9K
1485,$184.2K
1486,$187.3K
1487,$344.8K
1488,$187.9K
1489,$209.7K
1490,$224.2K
1491,$200.6K
1492,$103.8K
1493,$213.8K
1494,$342.0K
1495,$302.5K
1496,$219.9K
1497,$177.7K
1498,$170.8K
1499,$161.9K
1500,$169.6K
1501,$207.9K
1502,$154.6K
1503,$276.7K
1504,$231.3K
1505,$214.9K
1506,$181.5K
1507,$234.4K
1508,$195.3K
1509,$155.7K
1510,$153.5K
1511,$149.6K
1512,$166.8K
1513,$147.9K
1514,$161.6K
1515,$211.1K
1516,$165.3K
1517,$169.7K
1518,$113.5K
1519,$203.4K
1520,$135.1K
1521,$134.0K
1522,$190.8K
1523,$107.6K
1524,$103.2K
1525,$106.6K
1526,$106.5K
1527,$107.2K
1528,$135.1K
1529,$140.0K
1530,$202.7K
1531,$182.1K
1532,$99.2K
1533,$137.3K
1534,$125.5K
1535,$157.2K
1536,$105.6K
1537,$86.6K
1538,$146.9K
1539,$185.4K
1540,$131.2K
1541,$140.0K
1542,$144.7K
1543,$185.0K
1544,$86.9K
1545,$116.7K
1546,$129.9K
1547,$154.9K
1548,$124.4K
1549,$124.9K
1550,$137.9K
1551,$116.6K
1552,$145.4K
1553,$148.4K
1554,$121.4K
1555,$163.3K
1556,$109.3K
1557,$102.1K
1558,$99.2K
1559,$119.4K
1560,$132.1K
1561,$131.4K
1562,$126.2K
1563,$117.2K
1564,$152.9K
1565,$145.9K
1566,$221.7K
1567,$81.5K
1568,$249.3K
1569,$147.5K
1570,$130.5K
1571,$119.3K
1572,$147.8K
1573,$267.6K
1574,$137.5K
1575,$228.2K
1576,$235.5K
1577,$179.0K
1578,$159.5K
1579,$165.6K
1580,$195.6K
1581,$161.9K
1582,$134.2K
1583,$275.1K
1584,$211.9K
1585,$151.9K
1586,$79.1K
1587,$100.9K
1588,$161.8K
1589,$112.0K
1590,$132.9K
1591,$96.0K
1592,$137.2K
1593,$116.6K
1594,$137.5K
1595,$136.1K
1596,$231.6K
1597,$209.3K
1598,$222.4K
1599,$158.9K
1600,$148.5K
1601,$61.6K
1602,$133.8K
1603,$91.6K
1604,$274.4K
1605,$212.3K
1606,$146.0K
1607,$146.6K
1608,$212.8K
1609,$194.4K
1610,$177.1K
1611,$145.4K
1612,$160.4K
1613,$154.4K
1614,$138.7K
1615,$91.3K
1616,$82.6K
1617,$98.2K
1618,$113.9K
1619,$128.8K
1620,$170.5K
1621,$136.4K
1622,$144.8K
1623,$237.0K
1624,$205.7K
1625,$107.7K
1626,$177.9K
1627,$185.4K
1628,$260.8K
1629,$182.2K
1630,$344.5K
1631,$274.0K
1632,$262.0K
1633,$176.2K
1634,$184.4K
1635,$174.1K
1636,$142.3K
1637,$196.5K
1638,$198.0K
1639,$181.7K
1640,$236.3K
1641,$187.9K
1642,$242.3K
1643,$222.2K
1644,$221.6K
1645,$220.4K
1646,$159.6K
1647,$147.0K
1648,$116.6K
1649,$121.9K
1650,$115.3K
1651,$117.4K
1652,$103.8K
1653,$98.5K
1654,$146.6K
1655,$131.5K
1656,$144.0K
1657,$146.4K
1658,$146.3K
1659,$110.8K
1660,$161.0K
1661,$395.6K
1662,$356.7K
1663,$346.6K
1664,$506.8K
1665,$289.8K
1666,$331.6K
1667,$369.1K
1668,$327.8K
1669,$301.5K
1670,$313.5K
1671,$300.4K
1672,$369.9K
1673,$314.3K
1674,$278.7K
1675,$249.8K
1676,$248.3K
1677,$250.8K
1678,$422.9K
1679,$353.7K
1680,$308.3K
1681,$254.8K
1682,$321.0K
1683,$228.3K
1684,$174.7K
1685,$176.3K
1686,$165.8K
1687,$169.3K
1688,$188.6K
1689,$184.4K
1690,$185.9K
1691,$177.6K
1692,$227.7K
1693,$178.9K
1694,$181.7K
1695,$167.8K
1696,$279.3K
1697,$168.7K
1698,$347.6K
1699,$337.0K
1700,$291.7K
1701,$299.4K
1702,$205.6K
1703,$199.0K
1704,$239.2K
1705,$215.5K
1706,$308.2K
1707,$211.9K
1708,$196.8K
1709,$240.8K
1710,$218.5K
1711,$259.2K
1712,$258.9K
1713,$237.6K
1714,$211.2K
1715,$207.8K
1716,$163.9K
1717,$167.7K
1718,$137.5K
1719,$212.3K
1720,$222.9K
1721,$159.3K
1722,$132.2K
1723,$163.2K
1724,$209.1K
1725,$243.1K
1726,$184.8K
1727,$172.5K
1728,$179.0K
1729,$177.9K
1730,$157.3K
1731,$115.9K
1732,$114.3K
1733,$105.0K
1734,$111.7K
1735,$115.3K
1736,$100.0K
1737,$290.6K
1738,$272.9K
1739,$255.5K
1740,$226.7K
1741,$198.6K
1742,$187.0K
1743,$187.5K
1744,$275.2K
1745,$218.5K
1746,$230.4K
1747,$218.6K
1748,$236.1K
1749,$152.2K
1750,$148.4K
1751,$244.5K
1752,$109.6K
1753,$144.0K
1754,$204.3K
1755,$188.4K
1756,$136.6K
1757,$104.6K
1758,$149.7K
1759,$160.4K
1760,$161.4K
1761,$161.6K
1762,$176.6K
1763,$187.3K
1764,$103.3K
1765,$160.5K
1766,$180.4K
1767,$210.8K
1768,$128.9K
1769,$155.1K
1770,$139.3K
1771,$134.9K
1772,$120.6K
1773,$123.1K
1774,$162.2K
1775,$140.7K
1776,$132.7K
1777,$98.2K
1778,$137.0K
1779,$117.0K
1780,$172.6K
1781,$114.6K
1782,$78.8K
1783,$138.3K
1784,$108.5K
1785,$103.3K
1786,$142.1K
1787,$163.5K
1788,$58.8K
1789,$94.5K
1790,$91.0K
1791,$199.3K
1792,$146.4K
1793,$136.7K
1794,$145.6K
1795,$132.8K
1796,$140.5K
1797,$132.5K
1798,$128.1K
1799,$96.0K
1800,$148.4K
1801,$124.1K
1802,$131.0K
1803,$160.3K
1804,$120.8K
1805,$134.1K
1806,$127.6K
1807,$145.7K
1808,$134.2K
1809,$123.0K
1810,$141.5K
1811,$89.5K
1812,$105.3K
1813,$114.4K
1814,$88.5K
1815,$52.0K
1816,$85.9K
1817,$120.2K
1818,$145.4K
1819,$132.0K
1820,$71.0K
1821,$113.7K
1822,$154.3K
1823,$68.4K
1824,$139.5K
1825,$146.9K
1826,$122.0K
1827,$109.9K
1828,$139.4K
1829,$140.3K
1830,$143.6K
1831,$155.2K
1832,$124.6K
1833,$150.0K
1834,$136.1K
1835,$146.4K
1836,$123.4K
1837,$115.4K
1838,$109.5K
1839,$87.0K
1840,$135.1K
1841,$136.0K
1842,$108.8K
1843,$135.9K
1844,$154.7K
1845,$148.3K
1846,$157.9K
1847,$188.5K
1848,$48.9K
1849,$137.0K
1850,$118.8K
1851,$148.4K
1852,$115.3K
1853,$114.5K
1854,$157.6K
1855,$171.3K
1856,$215.9K
1857,$193.1K
1858,$152.8K
1859,$125.1K
1860,$164.3K
1861,$124.1K
1862,$284.5K
1863,$279.6K
1864,$279.6K
1865,$292.5K
1866,$268.1K
1867,$205.6K
1868,$274.7K
1869,$200.3K
1870,$212.4K
1871,$228.2K
1872,$185.7K
1873,$239.6K
1874,$153.6K
1875,$209.5K
1876,$208.4K
1877,$199.5K
1878,$205.3K
1879,$155.3K
1880,$134.2K
1881,$232.1K
