Property ID,Sale Price
1461,$108.7K
1462,$150.7K
1463,$185.1K
1464,$185.9K
1465,$225.2K
1466,$168.6K
1467,$164.8K
1468,$163.1K
1469,$185.7K
1470,$117.3K
1471,$157.5K
1472,$99.7K
1473,$98.4K
1474,$147.0K
1475,$100.4K
1476,$336.3K
1477,$289.7K
1478,$299.9K
1479,$302.4K
1480,$416.4K
1481,$327.7K
1482,$244.1K
1483,$160.8K
1484,$158.1K
1485,$184.3K
1486,$187.3K
1487,$345.2K
1488,$187.2K
1489,$209.9K
1490,$224.9K
1491,$200.8K
1492,$104.2K
1493,$212.6K
1494,$343.2K
1495,$302.5K
1496,$219.4K
1497,$177.4K
1498,$171.5K
1499,$161.7K
1500,$169.7K
1501,$208.5K
1502,$154.1K
1503,$278.2K
1504,$231.3K
1505,$215.1K
1506,$181.5K
1507,$234.6K
1508,$195.6K
1509,$155.7K
1510,$153.8K
1511,$150.8K
1512,$167.2K
1513,$147.7K
1514,$164.6K
1515,$211.3K
1516,$165.6K
1517,$169.5K
1518,$112.7K
1519,$203.5K
1520,$135.4K
1521,$134.3K
1522,$191.0K
1523,$108.0K
1524,$103.3K
1525,$106.9K
1526,$106.4K
1527,$107.5K
1528,$134.8K
1529,$140.1K
1530,$202.6K
1531,$182.1K
1532,$98.7K
1533,$137.2K
1534,$125.3K
1535,$157.2K
1536,$105.3K
1537,$86.9K
1538,$146.4K
1539,$186.0K
1540,$130.9K
1541,$139.8K
1542,$144.7K
1543,$184.5K
1544,$87.0K
1545,$116.9K
1546,$129.8K
1547,$155.1K
1548,$124.3K
1549,$125.1K
1550,$138.3K
1551,$115.9K
1552,$145.6K
1553,$148.5K
1554,$121.2K
1555,$163.1K
1556,$109.5K
1557,$103.0K
1558,$99.0K
1559,$119.3K
1560,$131.3K
1561,$131.2K
1562,$126.0K
1563,$117.1K
1564,$151.9K
1565,$145.5K
1566,$221.4K
1567,$81.1K
1568,$249.5K
1569,$147.6K
1570,$129.8K
1571,$118.6K
1572,$147.3K
1573,$271.1K
1574,$137.2K
1575,$228.6K
1576,$236.1K
1577,$179.0K
1578,$160.1K
1579,$166.2K
1580,$195.5K
1581,$162.9K
1582,$134.6K
1583,$275.7K
1584,$211.9K
1585,$151.7K
1586,$80.2K
1587,$103.3K
1588,$161.5K
1589,$112.4K
1590,$132.2K
1591,$96.2K
1592,$136.5K
1593,$116.3K
1594,$137.7K
1595,$135.9K
1596,$231.6K
1597,$209.8K
1598,$222.5K
1599,$162.0K
1600,$151.7K
1601,$62.0K
1602,$133.8K
1603,$91.5K
1604,$274.0K
1605,$211.6K
1606,$145.5K
1607,$146.8K
1608,$213.0K
1609,$194.5K
1610,$177.5K
1611,$145.2K
1612,$159.9K
1613,$154.2K
1614,$138.1K
1615,$91.2K
1616,$82.6K
1617,$98.0K
1618,$114.8K
1619,$128.8K
1620,$169.6K
1621,$136.2K
1622,$144.2K
1623,$236.0K
1624,$205.2K
1625,$107.9K
1626,$178.1K
1627,$185.7K
1628,$260.6K
1629,$181.8K
1630,$344.6K
1631,$274.3K
1632,$262.2K
1633,$176.0K
1634,$184.5K
1635,$174.1K
1636,$142.4K
1637,$197.3K
1638,$199.6K
1639,$181.7K
1640,$236.1K
1641,$187.6K
1642,$242.6K
1643,$223.7K
1644,$221.5K
1645,$220.5K
1646,$159.8K
1647,$146.9K
1648,$116.4K
1649,$121.9K
1650,$115.8K
1651,$117.8K
1652,$103.2K
1653,$97.9K
1654,$147.3K
1655,$132.0K
1656,$144.7K
1657,$147.2K
1658,$146.8K
1659,$111.4K
1660,$161.0K
1661,$395.9K
1662,$356.7K
1663,$347.0K
1664,$516.5K
1665,$290.0K
1666,$331.8K
1667,$369.8K
1668,$329.6K
1669,$301.5K
1670,$313.7K
1671,$301.1K
1672,$370.7K
1673,$314.6K
1674,$279.1K
1675,$249.8K
1676,$248.3K
1677,$251.0K
1678,$423.8K
1679,$353.9K
1680,$307.8K
1681,$254.5K
1682,$321.4K
1683,$228.1K
1684,$175.1K
1685,$176.3K
1686,$166.0K
1687,$169.0K
1688,$188.7K
1689,$184.4K
1690,$185.9K
1691,$177.6K
1692,$227.7K
1693,$179.0K
1694,$181.9K
1695,$167.8K
1696,$281.4K
1697,$168.5K
1698,$347.7K
1699,$336.8K
1700,$292.0K
1701,$299.5K
1702,$204.6K
1703,$197.7K
1704,$238.7K
1705,$214.5K
1706,$307.1K
1707,$211.9K
1708,$197.0K
1709,$240.8K
1710,$218.5K
1711,$259.6K
1712,$258.9K
1713,$238.0K
1714,$211.4K
1715,$207.9K
1716,$164.1K
1717,$167.8K
1718,$138.0K
1719,$212.3K
1720,$222.8K
1721,$159.5K
1722,$132.7K
1723,$163.7K
1724,$209.3K
1725,$243.4K
1726,$184.9K
1727,$173.2K
1728,$179.0K
1729,$178.5K
1730,$157.1K
1731,$115.7K
1732,$114.0K
1733,$104.7K
1734,$114.0K
1735,$114.6K
1736,$99.5K
1737,$292.4K
1738,$273.3K
1739,$255.0K
1740,$226.5K
1741,$198.6K
1742,$187.3K
1743,$187.6K
1744,$276.9K
1745,$219.1K
1746,$230.1K
1747,$218.0K
1748,$237.3K
1749,$151.9K
1750,$148.2K
1751,$244.3K
1752,$109.3K
1753,$143.9K
1754,$204.4K
1755,$188.8K
1756,$138.7K
1757,$104.8K
1758,$149.8K
1759,$160.5K
1760,$161.4K
1761,$162.1K
1762,$176.4K
1763,$186.8K
1764,$103.3K
1765,$160.3K
1766,$180.8K
1767,$211.5K
1768,$129.0K
1769,$154.7K
1770,$139.4K
1771,$135.1K
1772,$120.6K
1773,$123.2K
1774,$162.2K
1775,$140.8K
1776,$133.2K
1777,$98.6K
1778,$137.1K
1779,$117.8K
1780,$172.0K
1781,$114.3K
1782,$78.9K
1783,$138.4K
1784,$108.7K
1785,$103.4K
1786,$140.7K
1787,$162.6K
1788,$58.7K
1789,$94.2K
1790,$91.2K
1791,$198.9K
1792,$146.5K
1793,$136.6K
1794,$145.6K
1795,$133.0K
1796,$140.4K
1797,$132.3K
1798,$128.2K
1799,$96.3K
1800,$148.2K
1801,$124.4K
1802,$130.2K
1803,$160.2K
1804,$120.5K
1805,$134.0K
1806,$127.2K
1807,$145.3K
1808,$134.3K
1809,$123.2K
1810,$141.3K
1811,$88.9K
1812,$105.6K
1813,$114.2K
1814,$91.3K
1815,$52.4K
1816,$85.7K
1817,$120.5K
1818,$144.7K
1819,$131.6K
1820,$70.8K
1821,$114.4K
1822,$154.2K
1823,$69.5K
1824,$139.2K
1825,$147.0K
1826,$122.0K
1827,$110.1K
1828,$140.2K
1829,$140.6K
1830,$143.4K
1831,$154.7K
1832,$124.3K
1833,$149.6K
1834,$135.3K
1835,$145.7K
1836,$123.2K
1837,$115.8K
1838,$108.8K
1839,$86.9K
1840,$134.7K
1841,$135.4K
1842,$108.8K
1843,$135.5K
1844,$153.6K
1845,$147.9K
1846,$157.6K
1847,$188.5K
1848,$49.3K
1849,$137.0K
1850,$118.7K
1851,$148.2K
1852,$114.9K
1853,$113.5K
1854,$157.4K
1855,$171.6K
1856,$216.2K
1857,$193.6K
1858,$152.6K
1859,$124.9K
1860,$164.2K
1861,$123.9K
1862,$284.4K
1863,$279.0K
1864,$279.0K
1865,$292.2K
1866,$268.1K
1867,$205.3K
1868,$274.9K
1869,$200.2K
1870,$212.4K
1871,$227.8K
1872,$185.7K
1873,$239.8K
1874,$154.3K
1875,$209.3K
1876,$208.7K
1877,$199.8K
1878,$205.3K
1879,$156.0K
1880,$134.7K
1881,$232.3K
1882,$243.1K
1883,$185.1K
1884,$196.3K
1885,$234.8K
1886,$253.6K
1887,$217.2K
1888,$247.5K
1889,$179.5K
1890,$119.0K
1891,$136.4K
1892,$96.5K
1893,$139.4K
1894,$119.7K
1895,$153.9K
1896,$124.1K
1897,$131.4K
1898,$111.9K
1899,$162.2K
1900,$169.0K
1901,$193.3K
1902,$175.9K
1903,$212.8K
1904,$167.1K
1905,$199.4K
1906,$182.5K
1907,$252.8K
1908,$106.1K
1909,$139.6K
1910,$118.5K
1911,$236.6K
1912,$289.5K
1913,$161.8K
1914,$68.1K
1915,$303.8K
1916,$75.6K
1917,$231.7K
1918,$135.8K
1919,$172.9K
1920,$153.4K
1921,$310.7K
1922,$282.2K
1923,$244.9K
1924,$241.3K
1925,$209.6K
1926,$322.9K
1927,$119.2K
1928,$165.7K
1929,$111.1K
1930,$130.0K
1931,$141.4K
1932,$138.9K
1933,$178.7K
1934,$179.6K
1935,$181.0K
1936,$194.1K
1937,$185.3K
1938,$159.9K
1939,$284.9K
1940,$223.8K
1941,$172.6K
1942,$184.7K
1943,$247.2K
1944,$351.8K
1945,$361.7K
1946,$185.8K
1947,$298.3K
1948,$175.0K
1949,$199.1K
1950,$164.8K
1951,$247.7K
1952,$201.7K
1953,$198.5K
1954,$193.6K
1955,$132.4K
1956,$282.2K
1957,$147.7K
1958,$259.1K
1959,$136.8K
1960,$105.3K
1961,$114.8K
1962,$95.2K
1963,$101.5K
1964,$104.6K
1965,$138.0K
1966,$125.8K
1967,$323.3K
1968,$380.8K
1969,$346.0K
1970,$379.4K
1971,$410.8K
1972,$357.8K
1973,$316.9K
1974,$327.7K
1975,$422.4K
1976,$299.9K
1977,$370.9K
1978,$339.4K
1979,$313.7K
1980,$235.3K
1981,$326.6K
1982,$246.3K
1983,$233.1K
1984,$231.9K
1985,$214.9K
1986,$201.1K
1987,$202.4K
1988,$167.6K
1989,$186.0K
1990,$205.4K
1991,$271.7K
1992,$229.5K
1993,$170.5K
1994,$234.9K
1995,$180.8K
1996,$319.3K
1997,$312.7K
1998,$326.8K
1999,$302.0K
2000,$334.4K
2001,$322.8K
2002,$209.0K
2003,$223.9K
2004,$275.4K
2005,$188.7K
2006,$219.1K
2007,$238.2K
2008,$248.9K
2009,$197.2K
2010,$201.0K
2011,$154.4K
2012,$167.2K
2013,$183.5K
2014,$188.2K
2015,$233.9K
2016,$192.4K
2017,$189.6K
2018,$125.0K
2019,$121.1K
2020,$94.1K
2021,$106.3K
2022,$244.2K
2023,$140.5K
2024,$331.0K
2025,$356.4K
2026,$159.3K
2027,$157.9K
2028,$160.6K
2029,$186.9K
2030,$236.0K
2031,$212.7K
2032,$210.9K
2033,$226.7K
2034,$180.1K
2035,$241.6K
2036,$199.9K
2037,$204.1K
2038,$262.3K
2039,$245.7K
2040,$334.0K
2041,$236.0K
2042,$209.6K
2043,$168.8K
2044,$170.2K
2045,$180.2K
2046,$127.2K
2047,$135.9K
2048,$131.3K
2049,$122.4K
2050,$164.1K
2051,$99.4K
2052,$122.3K
2053,$132.5K
2054,$101.1K
2055,$146.8K
2056,$142.2K
2057,$113.5K
2058,$206.3K
2059,$140.9K
2060,$161.7K
2061,$168.7K
2062,$120.1K
2063,$110.9K
2064,$119.8K
2065,$126.3K
2066,$173.5K
2067,$143.8K
2068,$125.5K
2069,$78.3K
2070,$109.6K
2071,$99.3K
2072,$137.3K
2073,$126.8K
2074,$168.0K
2075,$156.4K
2076,$105.3K
2077,$152.7K
2078,$128.5K
2079,$121.5K
2080,$102.2K
2081,$121.4K
2082,$137.3K
2083,$144.2K
2084,$88.4K
2085,$100.1K
2086,$137.7K
2087,$122.6K
2088,$122.2K
2089,$73.4K
2090,$127.7K
2091,$104.2K
2092,$134.5K
2093,$130.4K
2094,$110.9K
2095,$155.9K
2096,$90.5K
2097,$96.8K
2098,$139.5K
2099,$53.8K
2100,$117.0K
2101,$128.2K
2102,$123.2K
2103,$109.0K
2104,$149.5K
2105,$125.5K
2106,$88.6K
2107,$203.5K
2108,$107.7K
2109,$107.2K
2110,$127.0K
2111,$142.8K
2112,$139.8K
2113,$124.5K
2114,$123.9K
2115,$154.6K
2116,$128.4K
2117,$141.4K
2118,$122.0K
2119,$103.9K
2120,$134.2K
2121,$85.9K
2122,$111.3K
2123,$94.7K
2124,$171.3K
2125,$137.4K
2126,$164.8K
2127,$145.9K
2128,$122.5K
2129,$85.2K
2130,$130.2K
2131,$134.4K
2132,$117.9K
2133,$120.2K
2134,$121.1K
2135,$96.1K
2136,$79.1K
2137,$110.5K
2138,$131.7K
2139,$150.1K
2140,$129.3K
2141,$156.6K
2142,$128.7K
2143,$155.6K
2144,$137.7K
2145,$129.4K
2146,$163.9K
2147,$196.4K
2148,$137.7K
2149,$141.8K
2150,$213.8K
2151,$131.1K
2152,$190.6K
2153,$185.0K
2154,$100.3K
2155,$143.2K
2156,$264.0K
2157,$216.1K
2158,$248.8K
2159,$216.6K
2160,$204.3K
2161,$223.9K
2162,$332.5K
2163,$302.0K
2164,$245.3K
2165,$194.8K
2166,$155.5K
2167,$221.2K
2168,$202.9K
2169,$200.5K
2170,$209.7K
2171,$162.9K
2172,$151.8K
2173,$191.8K
2174,$220.1K
2175,$267.6K
2176,$290.4K
2177,$248.0K
2178,$214.7K
2179,$147.3K
2180,$218.1K
2181,$192.2K
2182,$208.0K
2183,$185.1K
2184,$129.7K
2185,$147.3K
2186,$144.8K
2187,$168.3K
2188,$167.5K
2189,$282.4K
2190,$72.5K
2191,$66.3K
2192,$88.1K
2193,$110.6K
2194,$96.9K
2195,$114.4K
2196,$104.6K
2197,$125.8K
2198,$132.9K
2199,$157.1K
2200,$163.4K
2201,$165.2K
2202,$194.2K
2203,$188.1K
2204,$203.3K
2205,$149.4K
2206,$172.2K
2207,$244.8K
2208,$241.9K
2209,$252.7K
2210,$126.2K
2211,$116.9K
2212,$115.6K
2213,$89.1K
2214,$153.5K
2215,$98.7K
2216,$152.1K
2217,$69.5K
2218,$99.1K
2219,$100.8K
2220,$87.4K
2221,$304.2K
2222,$273.0K
2223,$253.1K
2224,$195.1K
2225,$127.1K
2226,$182.1K
2227,$199.6K
2228,$267.9K
2229,$270.6K
2230,$177.5K
2231,$250.9K
2232,$176.6K
2233,$195.6K
2234,$239.3K
2235,$221.9K
2236,$248.9K
2237,$285.6K
2238,$193.5K
2239,$115.1K
2240,$152.1K
2241,$157.2K
2242,$125.6K
2243,$136.9K
2244,$128.4K
2245,$134.0K
2246,$130.2K
2247,$111.7K
2248,$112.3K
2249,$111.9K
2250,$118.0K
2251,$171.0K
2252,$170.4K
2253,$171.8K
2254,$191.4K
2255,$195.3K
2256,$165.4K
2257,$205.3K
2258,$143.9K
2259,$179.3K
2260,$159.2K
2261,$240.1K
2262,$270.3K
2263,$355.9K
2264,$444.5K
2265,$181.7K
2266,$285.6K
2267,$380.1K
2268,$504.0K
2269,$152.4K
2270,$180.2K
2271,$196.8K
2272,$229.6K
2273,$149.0K
2274,$179.8K
2275,$158.3K
2276,$193.7K
2277,$176.8K
2278,$149.0K
2279,$112.0K
2280,$103.3K
2281,$136.7K
2282,$163.2K
2283,$109.7K
2284,$97.2K
