Property ID,Sale Price
1461,$129176
1462,$159149
1463,$187906
1464,$193980
1465,$201731
1466,$179396
1467,$166901
1468,$174023
1469,$190439
1470,$142398
1471,$222502
1472,$104554
1473,$106755
1474,$150734
1475,$125728
1476,$313746
1477,$238075
1478,$279201
1479,$300379
1480,$363779
1481,$281102
1482,$223268
1483,$185231
1484,$174374
1485,$183471
1486,$199447
1487,$288666
1488,$230959
1489,$188129
1490,$232297
1491,$194498
1492,$107933
1493,$176998
1494,$272222
1495,$276044
1496,$240663
1497,$181100
1498,$163533
1499,$162846
1500,$159674
1501,$174298
1502,$168290
1503,$266628
1504,$232482
1505,$222615
1506,$183804
1507,$226814
1508,$196191
1509,$165023
1510,$152849
1511,$158020
1512,$171936
1513,$156981
1514,$164204
1515,$187452
1516,$153683
1517,$162058
1518,$143768
1519,$233829
1520,$145099
1521,$147522
1522,$170419
1523,$126266
1524,$127458
1525,$134570
1526,$135386
1527,$117426
1528,$130827
1529,$146614
1530,$166496
1531,$150557
1532,$117057
1533,$145138
1534,$124280
1535,$155229
1536,$129161
1537,$104792
1538,$167086
1539,$197396
1540,$135847
1541,$146718
1542,$151215
1543,$194841
1544,$100952
1545,$120186
1546,$134535
1547,$144259
1548,$134629
1549,$127081
1550,$147364
1551,$133985
1552,$168587
1553,$137277
1554,$127264
1555,$175266
1556,$116235
1557,$128066
1558,$119147
1559,$129387
1560,$159437
1561,$145355
1562,$135937
1563,$131793
1564,$182094
1565,$161482
1566,$234757
1567,$95829
1568,$213610
1569,$153272
1570,$150406
1571,$135546
1572,$149942
1573,$242577
1574,$140890
1575,$243533
1576,$238017
1577,$188880
1578,$145904
1579,$149393
1580,$191805
1581,$145650
1582,$134563
1583,$283305
1584,$230857
1585,$152903
1586,$91853
1587,$120913
1588,$160078
1589,$108582
1590,$147048
1591,$114497
1592,$134910
1593,$133633
1594,$144476
1595,$144194
1596,$226137
1597,$180018
1598,$188063
1599,$186823
1600,$187969
1601,$100983
1602,$123260
1603,$109492
1604,$288007
1605,$226695
1606,$170049
1607,$172638
1608,$213390
1609,$178380
1610,$163774
1611,$151197
1612,$180159
1613,$160996
1614,$129868
1615,$94938
1616,$94751
1617,$98860
1618,$130687
1619,$142398
1620,$180726
1621,$140830
1622,$151627
1623,$284285
1624,$220731
1625,$134236
1626,$171204
1627,$189003
1628,$250257
1629,$183848
1630,$319524
1631,$222534
1632,$255757
1633,$176101
1634,$190484
1635,$188970
1636,$162760
1637,$184014
1638,$200997
1639,$180290
1640,$228812
1641,$188749
1642,$231992
1643,$226144
1644,$224876
1645,$189313
1646,$160645
1647,$167459
1648,$147079
1649,$146037
1650,$128679
1651,$127860
1652,$104891
1653,$103009
1654,$153883
1655,$148361
1656,$145119
1657,$152921
1658,$150715
1659,$125568
1660,$162675
1661,$337135
1662,$302829
1663,$340396
1664,$317074
1665,$283756
1666,$312326
1667,$324638
1668,$317951
1669,$277627
1670,$319415
1671,$261292
1672,$335489
1673,$263042
1674,$242402
1675,$203254
1676,$205937
1677,$220310
1678,$339796
1679,$328449
1680,$321162
1681,$256011
1682,$292389
1683,$194969
1684,$184776
1685,$183839
1686,$178416
1687,$176880
1688,$205799
1689,$199828
1690,$199552
1691,$185068
1692,$242791
1693,$177747
1694,$188458
1695,$167153
1696,$239544
1697,$167319
1698,$286087
1699,$270856
1700,$249015
1701,$265417
1702,$235454
1703,$241680
1704,$275644
1705,$253758
1706,$324462
1707,$207364
1708,$198864
1709,$238203
1710,$231662
1711,$257871
1712,$269516
1713,$261496
1714,$220330
1715,$199813
1716,$183622
1717,$177645
1718,$135346
1719,$202296
1720,$229489
1721,$167012
1722,$134311
1723,$159659
1724,$201850
1725,$229761
1726,$196865
1727,$173038
1728,$188822
1729,$163462
1730,$160985
1731,$132878
1732,$137964
1733,$134955
1734,$139524
1735,$147639
1736,$130305
1737,$270102
1738,$223170
1739,$230402
1740,$221723
1741,$202807
1742,$176935
1743,$175872
1744,$289436
1745,$211664
1746,$217279
1747,$204496
1748,$208716
1749,$164972
1750,$150574
1751,$230952
1752,$132344
1753,$151473
1754,$191219
1755,$172537
1756,$136048
1757,$128231
1758,$154200
1759,$168139
1760,$164735
1761,$156672
1762,$175048
1763,$179052
1764,$134524
1765,$179032
1766,$179229
1767,$201847
1768,$155981
1769,$171674
1770,$146217
1771,$141825
1772,$141356
1773,$143938
1774,$154681
1775,$140353
1776,$131218
1777,$123320
1778,$148067
1779,$125818
1780,$178007
1781,$137560
1782,$121853
1783,$138591
1784,$120388
1785,$126949
1786,$164462
1787,$161420
1788,$94839
1789,$118494
1790,$113801
1791,$178175
1792,$149569
1793,$153588
1794,$147172
1795,$138217
1796,$149891
1797,$127806
1798,$131854
1799,$126626
1800,$149066
1801,$132400
1802,$145593
1803,$158826
1804,$156121
1805,$144876
1806,$130169
1807,$141830
1808,$127159
1809,$123095
1810,$151026
1811,$108982
1812,$114080
1813,$131208
1814,$114056
1815,$81024
1816,$116101
1817,$130228
1818,$156415
1819,$143770
1820,$98183
1821,$130524
1822,$150312
1823,$79596
1824,$149927
1825,$149439
1826,$126010
1827,$123209
1828,$140726
1829,$125938
1830,$143582
1831,$150954
1832,$127232
1833,$149288
1834,$142480
1835,$159617
1836,$127324
1837,$114452
1838,$141665
1839,$111166
1840,$167676
1841,$149738
1842,$107003
1843,$147799
1844,$156501
1845,$148060
1846,$155245
1847,$184629
1848,$86612
1849,$130893
1850,$134818
1851,$164055
1852,$145220
1853,$155610
1854,$174124
1855,$178003
1856,$222692
1857,$175687
1858,$148330
1859,$136890
1860,$161042
1861,$135890
1862,$283823
1863,$280308
1864,$280308
1865,$309015
1866,$329765
1867,$224063
1868,$309952
1869,$216129
1870,$235940
1871,$238366
1872,$177221
1873,$235946
1874,$147748
1875,$211641
1876,$200787
1877,$226300
1878,$215174
1879,$137157
1880,$139636
1881,$240780
1882,$243033
1883,$189113
1884,$199764
1885,$267401
1886,$290236
1887,$225589
1888,$272394
1889,$177723
1890,$142118
1891,$142448
1892,$122752
1893,$150782
1894,$130594
1895,$154134
1896,$126981
1897,$136838
1898,$132659
1899,$154043
1900,$152454
1901,$165150
1902,$150491
1903,$205898
1904,$140994
1905,$176222
1906,$160337
1907,$196118
1908,$122372
1909,$142700
1910,$130806
1911,$197904
1912,$260930
1913,$163925
1914,$85953
1915,$321156
1916,$83042
1917,$232738
1918,$142073
1919,$162420
1920,$166796
1921,$337278
1922,$317210
1923,$200831
1924,$227340
1925,$215526
1926,$317699
1927,$142089
1928,$158710
1929,$135795
1930,$141555
1931,$143177
1932,$142897
1933,$186719
1934,$182446
1935,$185068
1936,$189820
1937,$179950
1938,$179304
1939,$264839
1940,$201260
1941,$178485
1942,$189150
1943,$218009
1944,$273098
1945,$326675
1946,$171232
1947,$296219
1948,$163586
1949,$240813
1950,$182897
1951,$253197
1952,$243695
1953,$183362
1954,$188859
1955,$140914
1956,$274529
1957,$165373
1958,$275726
1959,$149493
1960,$131067
1961,$135257
1962,$104240
1963,$106371
1964,$117367
1965,$145569
1966,$140248
1967,$284683
1968,$324452
1969,$333954
1970,$336253
1971,$385337
1972,$316179
1973,$260808
1974,$295308
1975,$335898
1976,$264302
1977,$310116
1978,$301091
1979,$298682
1980,$201985
1981,$309559
1982,$230412
1983,$227376
1984,$171008
1985,$226559
1986,$222958
1987,$180384
1988,$186780
1989,$198947
1990,$221942
1991,$218015
1992,$222523
1993,$181853
1994,$226352
1995,$183825
1996,$255564
1997,$278249
1998,$290436
1999,$253328
2000,$267594
2001,$253798
2002,$246335
2003,$244896
2004,$260740
2005,$243339
2006,$225375
2007,$241080
2008,$217991
2009,$197315
2010,$194637
2011,$145788
2012,$171915
2013,$192496
2014,$202869
2015,$200495
2016,$197860
2017,$201029
2018,$139764
2019,$140620
2020,$129492
2021,$130776
2022,$177987
2023,$156022
2024,$254437
2025,$297159
2026,$184952
2027,$156382
2028,$155016
2029,$166020
2030,$279155
2031,$247048
2032,$264219
2033,$257823
2034,$165459
2035,$209728
2036,$189712
2037,$193562
2038,$256808
2039,$217065
2040,$254711
2041,$264362
2042,$199283
2043,$169698
2044,$181482
2045,$200681
2046,$147048
2047,$154459
2048,$139276
2049,$147699
2050,$180930
2051,$125164
2052,$141658
2053,$149415
2054,$119001
2055,$152350
2056,$153670
2057,$137015
2058,$215354
2059,$149006
2060,$171559
2061,$172601
2062,$142273
2063,$129272
2064,$142750
2065,$126801
2066,$165197
2067,$151292
2068,$142994
2069,$90923
2070,$113409
2071,$119209
2072,$147942
2073,$152428
2074,$171931
2075,$149126
2076,$129165
2077,$154256
2078,$136418
2079,$132822
2080,$127826
2081,$133136
2082,$138819
2083,$144872
2084,$124175
2085,$135683
2086,$135672
2087,$128940
2088,$116835
2089,$112648
2090,$145216
2091,$128897
2092,$129482
2093,$151045
2094,$132386
2095,$148343
2096,$104953
2097,$116192
2098,$142318
2099,$79992
2100,$114494
2101,$124803
2102,$150107
2103,$119873
2104,$145890
2105,$131161
2106,$99815
2107,$202681
2108,$125899
2109,$117344
2110,$147306
2111,$147595
2112,$144469
2113,$129545
2114,$130533
2115,$162671
2116,$129061
2117,$147178
2118,$133495
2119,$126194
2120,$136901
2121,$105316
2122,$118262
2123,$104974
2124,$169833
2125,$142799
2126,$165250
2127,$148291
2128,$143155
2129,$119756
2130,$141622
2131,$165337
2132,$123134
2133,$135366
2134,$127059
2135,$112131
2136,$110056
2137,$131525
2138,$145042
2139,$156822
2140,$144672
2141,$157179
2142,$141851
2143,$152097
2144,$146936
2145,$145704
2146,$155686
2147,$184432
2148,$138294
2149,$143422
2150,$206985
2151,$132007
2152,$161955
2153,$166103
2154,$121217
2155,$149175
2156,$245561
2157,$240302
2158,$231563
2159,$216084
2160,$182386
2161,$236864
2162,$309111
2163,$303065
2164,$257012
2165,$195424
2166,$145629
2167,$221024
2168,$207343
2169,$201806
2170,$214990
2171,$149067
2172,$147474
2173,$158424
2174,$236252
2175,$273066
2176,$287439
2177,$226874
2178,$219305
2179,$154835
2180,$216443
2181,$198339
2182,$208999
2183,$203345
2184,$137589
2185,$149668
2186,$149877
2187,$157499
2188,$161374
2189,$225141
2190,$96385
2191,$99128
2192,$112390
2193,$111462
2194,$116479
2195,$129323
2196,$128349
2197,$126173
2198,$149561
2199,$184611
2200,$152690
2201,$141787
2202,$187980
2203,$173700
2204,$180243
2205,$128837
2206,$144354
2207,$203984
2208,$217383
2209,$201642
2210,$129073
2211,$127847
2212,$122198
2213,$112414
2214,$145457
2215,$125427
2216,$154860
2217,$98080
2218,$103627
2219,$99417
2220,$114280
2221,$321156
2222,$268124
2223,$255064
2224,$200951
2225,$147329
2226,$188724
2227,$217550
2228,$268956
2229,$244575
2230,$162614
2231,$201221
2232,$184509
2233,$196343
2234,$271157
2235,$236910
2236,$290433
2237,$309256
2238,$208783
2239,$124288
2240,$180073
2241,$153650
2242,$140210
2243,$132373
2244,$113541
2245,$108172
2246,$149249
2247,$100648
2248,$133360
2249,$135514
2250,$138541
2251,$149178
2252,$168842
2253,$160743
2254,$182349
2255,$193170
2256,$187700
2257,$207842
2258,$167042
2259,$180376
2260,$158601
2261,$195178
2262,$230796
2263,$304138
2264,$320640
2265,$169420
2266,$283963
2267,$336684
2268,$331298
2269,$158941
2270,$197369
2271,$231056
2272,$205420
2273,$168136
2274,$177083
2275,$158308
2276,$185161
2277,$191221
2278,$147094
2279,$140207
2280,$124411
2281,$180892
2282,$213644
2283,$107925
2284,$124391
2285,$132348
2286,$134411
2287,$312029
2288,$258364
2289,$331291
2290,$355863
2291,$289222
2292,$334130
2293,$337995
2294,$318891
2295,$341560
2296,$267138
2297,$294112
2298,$302576
2299,$323853
2300,$297033
2301,$277675
2302,$240313
2303,$256537
2304,$241591
2305,$201514
2306,$203008
2307,$201760
2308,$231730
2309,$270514
2310,$222297
2311,$213287
2312,$181763
2313,$181584
2314,$186321
2315,$187503
2316,$193559
2317,$187269
2318,$184108
2319,$187035
2320,$188065
2321,$253664
2322,$188554
2323,$179409
2324,$184502
2325,$206170
2326,$177876
2327,$212861
2328,$222647
2329,$190229
2330,$181699
2331,$304703
2332,$311560
2333,$289061
2334,$249076
2335,$266995
2336,$296172
2337,$193955
2338,$259445
2339,$239229
2340,$325836
2341,$213616
2342,$236004
2343,$221689
2344,$203563
2345,$222999
2346,$225904
2347,$193470
2348,$224946
2349,$175092
2350,$262041
2351,$267090
2352,$242808
2353,$236548
2354,$134189
2355,$145295
2356,$160552
2357,$202764
2358,$195820
2359,$141420
2360,$130703
2361,$146239
2362,$247849
2363,$151936
2364,$161435
2365,$242538
2366,$193827
2367,$217488
2368,$220359
2369,$212913
2370,$166219
2371,$174004
2372,$195750
2373,$249697
2374,$270928
2375,$232121
2376,$266324
2377,$284736
2378,$149050
2379,$198345
2380,$152243
2381,$167820
2382,$192264
2383,$200612
2384,$236524
2385,$156916
2386,$143886
2387,$143583
2388,$115723
2389,$140074
2390,$150719
2391,$144974
2392,$123538
2393,$160319
2394,$153140
2395,$193021
2396,$152698
2397,$195080
2398,$134015
2399,$99061
2400,$84267
2401,$127039
2402,$140753
2403,$140664
2404,$158039
2405,$160707
2406,$146630
2407,$137670
2408,$147024
2409,$139844
2410,$176884
2411,$132055
2412,$158400
2413,$143831
2414,$140358
2415,$141659
2416,$130720
2417,$134043
2418,$133726
2419,$134170
2420,$136933
2421,$160792
2422,$126812
2423,$120010
2424,$152204
2425,$191478
2426,$142309
2427,$143410
2428,$176779
2429,$131505
2430,$145191
2431,$144316
2432,$149400
2433,$145248
2434,$144326
2435,$160369
2436,$121665
2437,$125604
2438,$141656
2439,$124655
2440,$126931
2441,$116620
2442,$115161
2443,$130836
2444,$138779
2445,$106921
2446,$144843
2447,$175528
2448,$155370
2449,$127117
2450,$156542
2451,$139709
2452,$203667
2453,$111732
2454,$130872
2455,$126816
2456,$135744
2457,$129270
2458,$139649
2459,$122547
2460,$141959
2461,$129740
2462,$135387
2463,$131779
2464,$176322
2465,$148930
2466,$129409
2467,$159830
2468,$109955
2469,$110444
2470,$171462
2471,$201747
2472,$169178
2473,$128963
2474,$121007
2475,$198184
2476,$131091
2477,$137069
2478,$163368
2479,$131998
2480,$155374
2481,$142664
2482,$134040
2483,$131571
2484,$136244
2485,$135899
2486,$161315
2487,$201861
2488,$151572
2489,$161787
2490,$146404
2491,$105099
2492,$182200
2493,$151771
2494,$162542
2495,$110018
2496,$217787
2497,$148139
2498,$131074
2499,$105713
2500,$148059
2501,$139524
2502,$156698
2503,$110249
2504,$193126
2505,$213988
2506,$241714
2507,$272824
2508,$244953
2509,$212458
2510,$225281
2511,$186814
2512,$197325
2513,$229996
2514,$256360
2515,$148378
2516,$172823
2517,$142986
2518,$153543
2519,$223940
2520,$215347
2521,$193929
2522,$228167
2523,$140961
2524,$149560
2525,$143074
2526,$144333
2527,$137735
2528,$140585
2529,$145516
2530,$130181
2531,$249658
2532,$224666
2533,$202755
2534,$234139
2535,$284505
2536,$234398
2537,$250041
2538,$189577
2539,$192313
2540,$187362
2541,$189218
2542,$180621
2543,$146431
2544,$135301
2545,$134908
2546,$146105
2547,$149131
2548,$165915
2549,$173871
2550,$315931
2551,$146558
2552,$133339
2553,$102321
2554,$108359
2555,$132616
2556,$123633
2557,$125841
2558,$157187
2559,$137256
2560,$142392
2561,$151795
2562,$154506
2563,$162373
2564,$188844
2565,$147985
2566,$167844
2567,$139567
2568,$182306
2569,$185350
2570,$130299
2571,$196454
2572,$160919
2573,$203286
2574,$243117
2575,$134319
2576,$129758
2577,$151762
2578,$111172
2579,$102956
2580,$135537
2581,$134960
2582,$133011
2583,$273912
2584,$179066
2585,$198128
2586,$230262
2587,$202067
2588,$154258
2589,$158262
2590,$229954
2591,$202600
2592,$214433
2593,$264142
2594,$170224
2595,$206431
2596,$298063
2597,$201402
2598,$261004
2599,$292279
2600,$175352
2601,$161483
2602,$97511
2603,$110664
2604,$101068
2605,$100375
2606,$169492
2607,$192269
2608,$204685
2609,$169935
2610,$124320
2611,$151334
2612,$158707
2613,$135127
2614,$136247
2615,$154909
2616,$151285
2617,$185844
2618,$212116
2619,$189375
2620,$189362
2621,$178218
2622,$185354
2623,$243658
2624,$253269
2625,$275513
2626,$169336
2627,$163603
2628,$355622
2629,$372285
2630,$288556
2631,$359632
2632,$315050
2633,$291652
2634,$318612
2635,$163738
2636,$192675
2637,$193354
2638,$237945
2639,$188723
2640,$151537
2641,$125701
2642,$216754
2643,$114711
2644,$135845
2645,$108650
2646,$102938
2647,$108507
2648,$153351
2649,$150066
2650,$126247
2651,$146478
2652,$333375
2653,$236909
2654,$234579
2655,$325058
2656,$273018
2657,$329311
2658,$267589
2659,$266877
2660,$316031
2661,$317716
2662,$323253
2663,$281940
2664,$264861
2665,$295250
2666,$285229
