Property ID,Sale Price
1461,$134.5K
1462,$142.5K
1463,$146.7K
1464,$153.3K
1465,$274.1K
1466,$153.3K
1467,$141.5K
1468,$153.3K
1469,$201.0K
1470,$134.9K
1471,$201.0K
1472,$141.1K
1473,$134.5K
1474,$153.3K
1475,$200.4K
1476,$328.5K
1477,$278.4K
1478,$323.6K
1479,$285.6K
1480,$346.8K
1481,$290.6K
1482,$274.1K
1483,$142.9K
1484,$200.4K
1485,$203.4K
1486,$205.2K
1487,$293.5K
1488,$278.4K
1489,$200.4K
1490,$153.3K
1491,$205.2K
1492,$134.5K
1493,$153.3K
1494,$281.4K
1495,$285.3K
1496,$206.4K
1497,$205.2K
1498,$200.4K
1499,$200.4K
1500,$141.9K
1501,$153.3K
1502,$200.4K
1503,$288.5K
1504,$275.1K
1505,$205.2K
1506,$153.3K
1507,$153.3K
1508,$153.8K
1509,$153.3K
1510,$135.3K
1511,$134.9K
1512,$146.7K
1513,$153.3K
1514,$146.3K
1515,$146.7K
1516,$153.3K
1517,$141.1K
1518,$146.7K
1519,$205.2K
1520,$134.5K
1521,$134.5K
1522,$153.3K
1523,$139.6K
1524,$134.5K
1525,$134.5K
1526,$134.5K
1527,$134.9K
1528,$141.4K
1529,$134.9K
1530,$151.5K
1531,$146.3K
1532,$134.5K
1533,$141.7K
1534,$141.4K
1535,$146.3K
1536,$134.9K
1537,$134.9K
1538,$274.1K
1539,$281.4K
1540,$146.3K
1541,$153.3K
1542,$146.3K
1543,$205.2K
1544,$134.5K
1545,$141.1K
1546,$141.5K
1547,$146.3K
1548,$151.7K
1549,$134.9K
1550,$146.7K
1551,$141.1K
1552,$146.7K
1553,$152.8K
1554,$142.5K
1555,$146.3K
1556,$134.9K
1557,$144.5K
1558,$141.1K
1559,$146.3K
1560,$146.7K
1561,$146.3K
1562,$134.5K
1563,$134.5K
1564,$145.0K
1565,$146.7K
1566,$205.2K
1567,$134.9K
1568,$153.3K
1569,$146.3K
1570,$141.1K
1571,$146.3K
1572,$134.5K
1573,$205.2K
1574,$135.3K
1575,$205.2K
1576,$153.3K
1577,$200.4K
1578,$153.3K
1579,$134.9K
1580,$205.2K
1581,$134.5K
1582,$134.9K
1583,$298.4K
1584,$206.2K
1585,$141.5K
1586,$134.5K
1587,$134.5K
1588,$134.5K
1589,$134.9K
1590,$141.1K
1591,$134.5K
1592,$134.9K
1593,$141.5K
1594,$146.8K
1595,$146.3K
1596,$206.2K
1597,$146.7K
1598,$205.2K
1599,$274.1K
1600,$274.1K
1601,$134.5K
1602,$141.1K
1603,$134.5K
1604,$283.5K
1605,$278.1K
1606,$141.9K
1607,$153.8K
1608,$201.0K
1609,$200.4K
1610,$146.7K
1611,$135.3K
1612,$146.7K
1613,$141.7K
1614,$134.5K
1615,$134.5K
1616,$134.5K
1617,$134.5K
1618,$134.5K
1619,$134.9K
1620,$147.3K
1621,$135.3K
1622,$146.3K
1623,$287.2K
1624,$153.3K
1625,$141.1K
1626,$153.3K
1627,$153.3K
1628,$281.4K
1629,$205.2K
1630,$305.1K
1631,$274.1K
1632,$278.4K
1633,$203.4K
1634,$153.3K
1635,$153.3K
1636,$141.5K
1637,$146.7K
1638,$205.2K
1639,$153.3K
1640,$206.2K
1641,$153.3K
1642,$205.2K
1643,$276.0K
1644,$274.1K
1645,$146.7K
1646,$141.5K
1647,$200.4K
1648,$134.9K
1649,$134.5K
1650,$134.9K
1651,$134.9K
1652,$141.1K
1653,$141.1K
1654,$153.3K
1655,$200.4K
1656,$153.3K
1657,$153.3K
1658,$153.3K
1659,$200.4K
1660,$134.9K
1661,$340.4K
1662,$328.6K
1663,$342.6K
1664,$346.8K
1665,$326.2K
1666,$288.5K
1667,$289.6K
1668,$330.1K
1669,$318.3K
1670,$330.1K
1671,$205.2K
1672,$342.8K
1673,$281.4K
1674,$283.4K
1675,$148.3K
1676,$142.3K
1677,$201.0K
1678,$345.3K
1679,$302.1K
1680,$331.9K
1681,$316.9K
1682,$288.5K
1683,$204.0K
1684,$205.2K
1685,$153.3K
1686,$200.4K
1687,$203.4K
1688,$205.2K
1689,$205.2K
1690,$205.2K
1691,$201.0K
1692,$281.5K
1693,$203.4K
1694,$153.3K
1695,$205.2K
1696,$206.2K
1697,$205.2K
1698,$288.3K
1699,$295.9K
1700,$205.2K
1701,$281.4K
1702,$283.4K
1703,$283.4K
1704,$287.2K
1705,$275.3K
1706,$345.3K
1707,$206.4K
1708,$203.4K
1709,$313.2K
1710,$274.1K
1711,$275.3K
1712,$284.4K
1713,$205.2K
1714,$205.2K
1715,$205.2K
1716,$200.4K
1717,$200.4K
1718,$141.1K
1719,$205.2K
1720,$274.1K
1721,$200.4K
1722,$134.5K
1723,$134.9K
1724,$205.2K
1725,$206.2K
1726,$153.3K
1727,$146.6K
1728,$205.2K
1729,$151.5K
1730,$153.3K
1731,$134.9K
1732,$134.9K
1733,$134.5K
1734,$134.5K
1735,$134.5K
1736,$134.5K
1737,$298.4K
1738,$205.2K
1739,$206.2K
1740,$153.3K
1741,$141.9K
1742,$153.3K
1743,$205.2K
1744,$289.8K
1745,$205.2K
1746,$283.1K
1747,$205.2K
1748,$153.3K
1749,$140.0K
1750,$141.1K
1751,$206.2K
1752,$134.5K
1753,$146.7K
1754,$205.2K
1755,$142.9K
1756,$134.9K
1757,$134.5K
1758,$143.3K
1759,$146.7K
1760,$136.3K
1761,$135.3K
1762,$146.7K
1763,$153.3K
1764,$134.5K
1765,$153.3K
1766,$153.3K
1767,$153.3K
1768,$134.5K
1769,$201.0K
1770,$141.1K
1771,$134.5K
1772,$144.5K
1773,$134.5K
1774,$146.7K
1775,$141.1K
1776,$134.9K
1777,$134.5K
1778,$134.5K
1779,$134.5K
1780,$205.2K
1781,$134.5K
1782,$134.5K
1783,$141.7K
1784,$134.5K
1785,$134.5K
1786,$146.7K
1787,$205.2K
1788,$134.5K
1789,$134.9K
1790,$134.5K
1791,$153.3K
1792,$151.1K
1793,$141.5K
1794,$141.5K
1795,$141.1K
1796,$141.1K
1797,$141.5K
1798,$134.5K
1799,$134.5K
1800,$134.5K
1801,$146.3K
1802,$153.3K
1803,$153.3K
1804,$134.9K
1805,$141.1K
1806,$151.1K
1807,$153.3K
1808,$135.7K
1809,$146.3K
1810,$146.7K
1811,$146.3K
1812,$146.3K
1813,$135.9K
1814,$134.9K
1815,$134.5K
1816,$134.5K
1817,$146.7K
1818,$152.8K
1819,$141.4K
1820,$134.5K
1821,$152.8K
1822,$153.3K
1823,$134.5K
1824,$152.8K
1825,$146.3K
1826,$134.5K
1827,$134.5K
1828,$146.3K
1829,$134.9K
1830,$153.3K
1831,$205.2K
1832,$146.3K
1833,$152.8K
1834,$152.3K
1835,$205.2K
1836,$152.8K
1837,$134.5K
1838,$151.7K
1839,$134.5K
1840,$135.1K
1841,$134.5K
1842,$134.5K
1843,$134.5K
1844,$141.5K
1845,$146.3K
1846,$141.5K
1847,$146.3K
1848,$134.5K
1849,$145.0K
1850,$134.5K
1851,$152.8K
1852,$134.5K
1853,$134.5K
1854,$200.4K
1855,$146.6K
1856,$205.2K
1857,$146.7K
1858,$146.7K
1859,$146.7K
1860,$135.3K
1861,$146.7K
1862,$213.0K
1863,$213.0K
1864,$213.0K
1865,$325.1K
1866,$330.1K
1867,$274.1K
1868,$289.5K
1869,$200.4K
1870,$276.6K
1871,$275.3K
1872,$152.7K
1873,$205.2K
1874,$134.5K
1875,$205.2K
1876,$153.3K
1877,$205.2K
1878,$205.2K
1879,$134.5K
1880,$134.9K
1881,$205.2K
1882,$281.4K
1883,$205.2K
1884,$205.2K
1885,$278.0K
1886,$289.5K
1887,$204.6K
1888,$282.3K
1889,$151.5K
1890,$134.5K
1891,$141.5K
1892,$134.5K
1893,$143.9K
1894,$146.3K
1895,$146.3K
1896,$134.9K
1897,$134.9K
1898,$141.4K
1899,$141.9K
1900,$200.4K
1901,$146.7K
1902,$134.9K
1903,$206.2K
1904,$134.5K
1905,$153.3K
1906,$146.3K
1907,$153.3K
1908,$141.5K
1909,$141.9K
1910,$141.9K
1911,$153.3K
1912,$207.4K
1913,$146.7K
1914,$134.5K
1915,$287.7K
1916,$134.5K
1917,$280.3K
1918,$141.1K
1919,$141.9K
1920,$146.7K
1921,$342.6K
1922,$330.1K
