Property ID,Sale Price
1461,$96260
1462,$157486
1463,$155858
1464,$167540
1465,$208720
1466,$155238
1467,$159163
1468,$147413
1469,$198787
1470,$110815
1471,$166413
1472,$96925
1473,$87094
1474,$129395
1475,$95378
1476,$336502
1477,$267479
1478,$301899
1479,$308558
1480,$424511
1481,$308051
1482,$224747
1483,$164191
1484,$166409
1485,$199555
1486,$193099
1487,$325912
1488,$212161
1489,$200638
1490,$219946
1491,$208458
1492,$82843
1493,$206671
1494,$318256
1495,$286908
1496,$224100
1497,$153877
1498,$181454
1499,$163747
1500,$147480
1501,$184719
1502,$134979
1503,$291376
1504,$237913
1505,$215465
1506,$174409
1507,$234492
1508,$192265
1509,$152911
1510,$143966
1511,$155611
1512,$162224
1513,$135926
1514,$155790
1515,$174334
1516,$153562
1517,$154762
1518,$102972
1519,$216899
1520,$131185
1521,$122872
1522,$176098
1523,$92671
1524,$87890
1525,$107298
1526,$102441
1527,$89435
1528,$118289
1529,$149602
1530,$202101
1531,$145400
1532,$99069
1533,$153652
1534,$114458
1535,$133136
1536,$88842
1537,$41537
1538,$165852
1539,$209718
1540,$127028
1541,$125577
1542,$139698
1543,$182241
1544,$86230
1545,$120182
1546,$157121
1547,$147729
1548,$144260
1549,$134634
1550,$149845
1551,$113476
1552,$151086
1553,$155760
1554,$111032
1555,$146068
1556,$73374
1557,$87915
1558,$100013
1559,$84496
1560,$137115
1561,$108800
1562,$137796
1563,$126957
1564,$144293
1565,$138301
1566,$242351
1567,$55739
1568,$250095
1569,$109530
1570,$140275
1571,$78871
1572,$123951
1573,$248189
1574,$133552
1575,$246362
1576,$227109
1577,$180519
1578,$129465
1579,$130270
1580,$183907
1581,$145429
1582,$126513
1583,$273386
1584,$211012
1585,$134488
1586,$45635
1587,$98017
1588,$161865
1589,$77027
1590,$123153
1591,$83113
1592,$97469
1593,$135359
1594,$140726
1595,$129504
1596,$231563
1597,$205987
1598,$214796
1599,$195745
1600,$190062
1601,$40379
1602,$122767
1603,$62165
1604,$270056
1605,$236237
1606,$144481
1607,$153259
1608,$207641
1609,$192417
1610,$142244
1611,$127968
1612,$168599
1613,$142059
1614,$140904
1615,$78309
1616,$65729
1617,$65847
1618,$122192
1619,$143494
1620,$172359
1621,$123887
1622,$150803
1623,$269267
1624,$211394
1625,$113916
1626,$171355
1627,$168379
1628,$273953
1629,$173536
1630,$312613
1631,$242919
1632,$238872
1633,$185223
1634,$172794
1635,$172380
1636,$136762
1637,$161564
1638,$178993
1639,$153784
1640,$230610
1641,$161973
1642,$248286
1643,$210660
1644,$229410
1645,$191871
1646,$163113
1647,$152325
1648,$116532
1649,$129371
1650,$101749
1651,$98587
1652,$98600
1653,$94790
1654,$137366
1655,$128336
1656,$133444
1657,$145526
1658,$145595
1659,$108815
1660,$137676
1661,$383863
1662,$354008
1663,$353849
1664,$419123
1665,$298492
1666,$317260
1667,$341525
1668,$342906
1669,$312269
1670,$334302
1671,$277980
1672,$367685
1673,$302211
1674,$255036
1675,$209611
1676,$211037
1677,$215978
1678,$428941
1679,$356538
1680,$304159
1681,$258927
1682,$321736
1683,$190791
1684,$175377
1685,$180102
1686,$164427
1687,$174666
1688,$185881
1689,$191880
1690,$199751
1691,$192241
1692,$251496
1693,$193872
1694,$169126
1695,$166478
1696,$258217
1697,$158765
1698,$333309
1699,$333797
1700,$270617
1701,$287376
1702,$216702
1703,$218214
1704,$265709
1705,$254424
1706,$296690
1707,$207429
1708,$199835
1709,$249173
1710,$218689
1711,$259733
1712,$247604
1713,$247966
1714,$200026
1715,$208574
1716,$180619
1717,$185059
1718,$141732
1719,$228042
1720,$232305
1721,$160023
1722,$115227
1723,$144927
1724,$206582
1725,$244331
1726,$177748
1727,$149926
1728,$171797
1729,$163587
1730,$131752
1731,$122320
1732,$122625
1733,$106638
1734,$112686
1735,$118681
1736,$89938
