Property ID,Sale Price
1461,$96.3K
1462,$157.5K
1463,$155.9K
1464,$167.5K
1465,$208.7K
1466,$155.2K
1467,$159.2K
1468,$147.4K
1469,$198.8K
1470,$110.8K
1471,$166.4K
1472,$96.9K
1473,$87.1K
1474,$129.4K
1475,$95.4K
1476,$336.5K
1477,$267.5K
1478,$301.9K
1479,$308.6K
1480,$424.5K
1481,$308.1K
1482,$224.7K
1483,$164.2K
1484,$166.4K
1485,$199.6K
1486,$193.1K
1487,$325.9K
1488,$212.2K
1489,$200.6K
1490,$219.9K
1491,$208.5K
1492,$82.8K
1493,$206.7K
1494,$318.3K
1495,$286.9K
1496,$224.1K
1497,$153.9K
1498,$181.5K
1499,$163.7K
1500,$147.5K
1501,$184.7K
1502,$135.0K
1503,$291.4K
1504,$237.9K
1505,$215.5K
1506,$174.4K
1507,$234.5K
1508,$192.3K
1509,$152.9K
1510,$144.0K
1511,$155.6K
1512,$162.2K
1513,$135.9K
1514,$155.8K
1515,$174.3K
1516,$153.6K
1517,$154.8K
1518,$103.0K
1519,$216.9K
1520,$131.2K
1521,$122.9K
1522,$176.1K
1523,$92.7K
1524,$87.9K
1525,$107.3K
1526,$102.4K
1527,$89.4K
1528,$118.3K
1529,$149.6K
1530,$202.1K
1531,$145.4K
1532,$99.1K
1533,$153.7K
1534,$114.5K
1535,$133.1K
1536,$88.8K
1537,$41.5K
1538,$165.9K
1539,$209.7K
1540,$127.0K
1541,$125.6K
1542,$139.7K
1543,$182.2K
1544,$86.2K
1545,$120.2K
1546,$157.1K
1547,$147.7K
1548,$144.3K
1549,$134.6K
1550,$149.8K
1551,$113.5K
1552,$151.1K
1553,$155.8K
1554,$111.0K
1555,$146.1K
1556,$73.4K
1557,$87.9K
1558,$100.0K
1559,$84.5K
1560,$137.1K
1561,$108.8K
1562,$137.8K
1563,$127.0K
1564,$144.3K
1565,$138.3K
1566,$242.4K
1567,$55.7K
1568,$250.1K
1569,$109.5K
1570,$140.3K
1571,$78.9K
1572,$124.0K
1573,$248.2K
1574,$133.6K
1575,$246.4K
1576,$227.1K
1577,$180.5K
1578,$129.5K
1579,$130.3K
1580,$183.9K
1581,$145.4K
1582,$126.5K
1583,$273.4K
1584,$211.0K
1585,$134.5K
1586,$45.6K
1587,$98.0K
1588,$161.9K
1589,$77.0K
1590,$123.2K
1591,$83.1K
1592,$97.5K
1593,$135.4K
1594,$140.7K
1595,$129.5K
1596,$231.6K
1597,$206.0K
1598,$214.8K
1599,$195.7K
1600,$190.1K
1601,$40.4K
1602,$122.8K
1603,$62.2K
1604,$270.1K
1605,$236.2K
1606,$144.5K
1607,$153.3K
1608,$207.6K
1609,$192.4K
1610,$142.2K
1611,$128.0K
1612,$168.6K
1613,$142.1K
1614,$140.9K
1615,$78.3K
1616,$65.7K
1617,$65.8K
1618,$122.2K
1619,$143.5K
1620,$172.4K
1621,$123.9K
1622,$150.8K
1623,$269.3K
1624,$211.4K
1625,$113.9K
1626,$171.4K
1627,$168.4K
1628,$274.0K
1629,$173.5K
1630,$312.6K
1631,$242.9K
1632,$238.9K
1633,$185.2K
1634,$172.8K
1635,$172.4K
1636,$136.8K
1637,$161.6K
1638,$179.0K
1639,$153.8K
1640,$230.6K
1641,$162.0K
1642,$248.3K
1643,$210.7K
1644,$229.4K
1645,$191.9K
1646,$163.1K
1647,$152.3K
1648,$116.5K
1649,$129.4K
1650,$101.7K
1651,$98.6K
1652,$98.6K
1653,$94.8K
1654,$137.4K
1655,$128.3K
1656,$133.4K
1657,$145.5K
1658,$145.6K
1659,$108.8K
1660,$137.7K
1661,$383.9K
1662,$354.0K
1663,$353.8K
1664,$419.1K
1665,$298.5K
1666,$317.3K
1667,$341.5K
1668,$342.9K
1669,$312.3K
1670,$334.3K
1671,$278.0K
1672,$367.7K
1673,$302.2K
1674,$255.0K
1675,$209.6K
1676,$211.0K
1677,$216.0K
1678,$428.9K
1679,$356.5K
1680,$304.2K
1681,$258.9K
1682,$321.7K
1683,$190.8K
1684,$175.4K
1685,$180.1K
1686,$164.4K
1687,$174.7K
1688,$185.9K
1689,$191.9K
1690,$199.8K
1691,$192.2K
1692,$251.5K
1693,$193.9K
1694,$169.1K
1695,$166.5K
1696,$258.2K
1697,$158.8K
1698,$333.3K
1699,$333.8K
1700,$270.6K
1701,$287.4K
1702,$216.7K
1703,$218.2K
1704,$265.7K
1705,$254.4K
1706,$296.7K
1707,$207.4K
1708,$199.8K
1709,$249.2K
1710,$218.7K
1711,$259.7K
1712,$247.6K
1713,$248.0K
1714,$200.0K
1715,$208.6K
1716,$180.6K
1717,$185.1K
1718,$141.7K
1719,$228.0K
1720,$232.3K
1721,$160.0K
1722,$115.2K
1723,$144.9K
1724,$206.6K
1725,$244.3K
1726,$177.7K
1727,$149.9K
1728,$171.8K
1729,$163.6K
1730,$131.8K
1731,$122.3K
1732,$122.6K
1733,$106.6K
1734,$112.7K
1735,$118.7K
1736,$89.9K
1737,$273.4K
1738,$259.0K
1739,$219.2K
1740,$187.0K
1741,$168.9K
1742,$163.0K
1743,$172.2K
1744,$302.3K
1745,$230.9K
1746,$199.5K
1747,$209.6K
