Property ID,Sale Price
1461,$142450
1462,$162320
1463,$197313
1464,$220343
1465,$218343
1466,$195949
1467,$161551
1468,$188798
1469,$214942
1470,$123695
1471,$205862
1472,$95839
1473,$101630
1474,$154547
1475,$138555
1476,$320691
1477,$215180
1478,$261644
1479,$289969
1480,$361073
1481,$299541
1482,$229790
1483,$169762
1484,$187673
1485,$180282
1486,$226243
1487,$301822
1488,$256116
1489,$194911
1490,$236170
1491,$212619
1492,$96111
1493,$214731
1494,$270485
1495,$286460
1496,$235984
1497,$207449
1498,$165363
1499,$161413
1500,$157729
1501,$178742
1502,$162091
1503,$277862
1504,$250429
1505,$240219
1506,$223917
1507,$267737
1508,$235169
1509,$190878
1510,$153152
1511,$148894
1512,$192867
1513,$189472
1514,$184145
1515,$189683
1516,$169755
1517,$163220
1518,$139821
1519,$244738
1520,$141542
1521,$155907
1522,$190473
1523,$120880
1524,$130132
1525,$140770
1526,$150333
1527,$109088
1528,$125551
1529,$148957
1530,$200596
1531,$123471
1532,$119616
1533,$159608
1534,$121840
1535,$183645
1536,$117714
1537,$81975
1538,$185170
1539,$241319
1540,$133282
1541,$168893
1542,$150442
1543,$249840
1544,$85583
1545,$105485
1546,$137623
1547,$164957
1548,$136722
1549,$122487
1550,$166523
1551,$125342
1552,$173494
1553,$165304
1554,$127084
1555,$195052
1556,$113374
1557,$134247
1558,$102001
1559,$130193
1560,$156596
1561,$181293
1562,$141782
1563,$139685
1564,$179332
1565,$172044
1566,$245276
1567,$82726
1568,$264558
1569,$168730
1570,$141627
1571,$126168
1572,$148975
1573,$247726
1574,$145205
1575,$269108
1576,$248645
1577,$187493
1578,$165888
1579,$160294
1580,$222989
1581,$150112
1582,$148864
1583,$341570
1584,$260281
1585,$149103
1586,$65117
1587,$95985
1588,$167931
1589,$114455
1590,$147123
1591,$116817
1592,$135061
1593,$137573
1594,$138209
1595,$131157
1596,$283054
1597,$194869
1598,$226629
1599,$218993
1600,$209114
1601,$65329
1602,$124258
1603,$89732
1604,$334243
1605,$261333
1606,$169815
1607,$183350
1608,$208556
1609,$182301
1610,$167359
1611,$163667
1612,$186696
1613,$172143
1614,$119784
1615,$88086
1616,$88764
1617,$95413
1618,$138357
1619,$152190
1620,$158758
1621,$153587
1622,$171392
1623,$371117
1624,$235909
1625,$131686
1626,$197040
1627,$207323
1628,$300517
1629,$195789
1630,$362061
1631,$238880
1632,$258041
1633,$178902
1634,$209415
1635,$210020
1636,$149060
1637,$224199
1638,$243219
1639,$210337
1640,$287917
1641,$215381
1642,$255091
1643,$243545
1644,$239851
1645,$207529
1646,$157375
1647,$171992
1648,$126966
1649,$152399
1650,$133930
1651,$135954
1652,$98287
1653,$94419
1654,$154341
1655,$154155
1656,$157233
1657,$157071
1658,$147215
1659,$147244
1660,$156555
1661,$341079
1662,$305872
1663,$338454
1664,$264499
1665,$278179
1666,$327769
1667,$338538
1668,$305352
1669,$277120
1670,$291388
1671,$282932
1672,$261464
1673,$262727
1674,$269269
1675,$201231
1676,$194082
1677,$217093
1678,$260895
1679,$342709
1680,$342280
1681,$277772
1682,$302543
1683,$195666
1684,$196267
1685,$201114
1686,$179160
1687,$173338
1688,$203162
1689,$207107
1690,$217566
1691,$186398
1692,$287446
1693,$173861
1694,$204144
1695,$173576
1696,$279482
1697,$175528
1698,$300358
1699,$322230
1700,$273319
1701,$297351
1702,$193053
1703,$252279
1704,$296889
1705,$256212
1706,$274072
1707,$231197
1708,$208927
1709,$243929
1710,$236066
1711,$251125
1712,$285590
1713,$270113
1714,$250013
1715,$229767
1716,$174336
1717,$181778
1718,$131623
1719,$248042
1720,$246802
1721,$169195
1722,$142558
1723,$158055
1724,$224461
1725,$259356
1726,$217505
1727,$167427
1728,$201377
1729,$179649
1730,$164750
1731,$136356
1732,$144960
1733,$133380
1734,$142651
1735,$141803
1736,$132421
1737,$320099
1738,$247553
1739,$234168
1740,$190498
1741,$186120
1742,$184677
1743,$185862
1744,$310989
1745,$256262
1746,$221726
1747,$262461
1748,$253264
1749,$172394
1750,$125581
1751,$282074
1752,$135381
1753,$160314
1754,$258653
1755,$190362
1756,$153663
1757,$139610
1758,$165684
1759,$183059
1760,$166139
1761,$168804
1762,$197399
1763,$226494
1764,$132474
1765,$195607
1766,$215396
1767,$230365
1768,$149455
1769,$190180
1770,$146568
1771,$141675
1772,$145853
1773,$141510
1774,$164226
1775,$138607
1776,$128640
1777,$126665
1778,$139324
1779,$106124
1780,$198944
1781,$127903
1782,$95127
1783,$151769
1784,$97175
1785,$125498
1786,$173532
1787,$184592
1788,$75866
1789,$103913
1790,$102371
1791,$186684
1792,$162986
1793,$145794
1794,$161012
1795,$148871
1796,$131494
1797,$124574
1798,$133052
1799,$113942
1800,$153868
1801,$145813
1802,$154262
1803,$174296
1804,$157875
1805,$136537
1806,$129819
1807,$149463
1808,$131565
1809,$125450
1810,$166244
1811,$115022
1812,$123878
1813,$131776
1814,$104489
1815,$66950
1816,$106785
1817,$153689
1818,$187237
1819,$141121
1820,$76839
1821,$136471
1822,$173760
1823,$46115
1824,$171897
1825,$142063
1826,$115001
1827,$114962
1828,$144932
1829,$113623
1830,$168039
1831,$158663
1832,$108231
1833,$158434
1834,$120191
1835,$180131
1836,$148371
1837,$91240
1838,$134902
1839,$98567
1840,$180628
1841,$168664
1842,$91958
1843,$144096
1844,$154975
1845,$160898
1846,$155193
1847,$160479
1848,$64342
1849,$110504
1850,$132189
1851,$187173
1852,$138183
1853,$149025
1854,$174279
1855,$175333
1856,$273643
1857,$137417
1858,$160087
1859,$116409
1860,$168387
1861,$116462
1862,$286744
1863,$278584
1864,$278584
1865,$302447
1866,$368670
1867,$231968
1868,$386675
1869,$207131
1870,$235703
1871,$264890
1872,$183106
1873,$283571
1874,$143779
1875,$225593
1876,$217809
1877,$245092
1878,$223932
1879,$159824
1880,$137655
1881,$262131
1882,$262687
1883,$227771
1884,$243902
1885,$260193
1886,$367802
1887,$238837
1888,$294304
1889,$177013
1890,$145014
1891,$148134
1892,$117845
1893,$158377
1894,$143869
1895,$158133
1896,$131159
1897,$129749
1898,$115839
1899,$149852
1900,$156814
1901,$163602
1902,$167129
1903,$246862
1904,$155933
1905,$215818
1906,$163186
1907,$208624
1908,$114106
1909,$140100
1910,$129688
1911,$231456
1912,$279752
1913,$160351
1914,$57886
1915,$360930
1916,$55239
1917,$260484
1918,$143056
1919,$176622
1920,$176441
1921,$277770
1922,$323390
1923,$236922
1924,$277377
1925,$261462
1926,$290101
1927,$154965
1928,$186731
1929,$117865
1930,$114118
1931,$139240
1932,$164588
1933,$185269
1934,$197811
1935,$192677
1936,$210072
1937,$212398
1938,$177788
1939,$288845
1940,$215075
1941,$211655
1942,$231203
1943,$231032
1944,$273694
1945,$371268
1946,$168406
1947,$340262
1948,$167391
1949,$259124
1950,$198454
1951,$288907
1952,$281634
1953,$174825
1954,$202568
1955,$138081
1956,$276392
1957,$196809
1958,$343124
1959,$151449
1960,$140211
1961,$140194
1962,$94294
1963,$99367
1964,$115365
1965,$149818
1966,$146634
1967,$269087
1968,$317977
1969,$328494
1970,$341205
1971,$394750
1972,$293184
1973,$257228
1974,$265597
1975,$293380
1976,$267144
1977,$313369
1978,$315456
1979,$291210
1980,$206273
1981,$291306
1982,$254887
1983,$228881
1984,$177375
1985,$233179
1986,$238127
1987,$189778
1988,$202598
1989,$217873
1990,$252989
1991,$217065
1992,$255440
1993,$167791
1994,$268361
1995,$198595
1996,$267230
1997,$291650
1998,$293322
1999,$282589
2000,$264742
2001,$290191
2002,$269397
2003,$256261
2004,$280204
2005,$246261
2006,$240027
2007,$215051
2008,$194927
2009,$214615
2010,$220723
2011,$153488
2012,$175426
2013,$206212
2014,$220372
2015,$227427
2016,$214806
2017,$236450
2018,$142357
2019,$140527
2020,$134506
2021,$127259
2022,$211557
2023,$176097
2024,$258515
2025,$355856
2026,$195359
2027,$154497
2028,$160927
2029,$178400
2030,$341628
2031,$269167
2032,$289651
2033,$298743
2034,$175655
2035,$258120
2036,$227796
2037,$224269
2038,$320697
2039,$243544
2040,$307090
2041,$263290
2042,$224426
2043,$195406
2044,$217948
2045,$212644
2046,$151731
2047,$156080
2048,$145609
2049,$161095
2050,$224374
2051,$105333
2052,$131308
2053,$158575
2054,$86943
2055,$181123
2056,$147001
2057,$126864
2058,$253406
2059,$149763
2060,$188065
2061,$195032
2062,$151599
2063,$126972
2064,$138279
2065,$130584
2066,$208434
2067,$116061
2068,$171628
2069,$71672
2070,$110507
2071,$99283
2072,$129854
2073,$150235
2074,$203157
2075,$153845
2076,$125509
2077,$151657
2078,$148284
2079,$141561
2080,$125924
2081,$136776
2082,$161442
2083,$161022
2084,$122274
2085,$134174
2086,$93793
2087,$119383
2088,$114433
2089,$107255
2090,$164090
2091,$138547
2092,$135771
2093,$172154
2094,$144467
2095,$150126
2096,$86646
2097,$116594
2098,$168566
2099,$51021
2100,$111190
2101,$124371
2102,$152790
2103,$113111
2104,$157101
2105,$152593
2106,$65249
2107,$265099
2108,$134726
2109,$125181
2110,$142719
2111,$186123
2112,$153765
2113,$139454
2114,$115780
2115,$200356
2116,$129167
2117,$165134
2118,$135770
2119,$115265
2120,$123249
2121,$89390
2122,$103931
2123,$83385
2124,$204687
2125,$150315
2126,$200823
2127,$171339
2128,$144609
2129,$105207
2130,$150489
2131,$192935
2132,$113443
2133,$122741
2134,$124317
2135,$106422
2136,$104179
2137,$111052
2138,$154531
2139,$168220
2140,$144930
2141,$152899
2142,$141784
2143,$134835
2144,$110557
2145,$148987
2146,$162057
2147,$172194
2148,$141687
2149,$150447
2150,$251394
2151,$131397
2152,$195107
2153,$180160
2154,$130585
2155,$133377
2156,$251018
2157,$269616
2158,$262236
2159,$246442
2160,$168362
2161,$241418
2162,$277559
2163,$272440
2164,$269304
2165,$239739
2166,$152385
2167,$240524
2168,$240770
2169,$223901
2170,$258153
2171,$166468
2172,$140881
2173,$174886
2174,$255630
2175,$313534
2176,$352345
2177,$257357
2178,$214721
2179,$147558
2180,$220475
2181,$219986
2182,$229900
2183,$204895
2184,$131669
2185,$144342
2186,$149930
2187,$162324
2188,$182285
2189,$209733
2190,$78189
2191,$85416
2192,$105026
2193,$114717
2194,$102690
2195,$125663
2196,$108682
2197,$131758
2198,$162464
2199,$185848
2200,$154472
2201,$155822
2202,$222049
2203,$189600
2204,$215259
2205,$132190
2206,$134420
2207,$245018
2208,$269006
2209,$212504
2210,$120691
2211,$121275
2212,$118727
2213,$114036
2214,$144463
2215,$111763
2216,$166215
2217,$63854
2218,$98284
2219,$63809
2220,$90863
2221,$356067
2222,$278982
2223,$292839
2224,$257116
2225,$143651
2226,$213543
2227,$225061
2228,$291565
2229,$257640
2230,$169178
2231,$206054
2232,$198135
2233,$187732
2234,$282134
2235,$250506
2236,$314552
2237,$329379
2238,$230918
2239,$110029
2240,$161283
2241,$165511
2242,$134576
2243,$138045
2244,$102831
2245,$98246
2246,$152741
2247,$107449
2248,$133096
2249,$142186
2250,$153682
2251,$128049
2252,$213529
2253,$175437
2254,$201711
2255,$217389
2256,$203156
2257,$224682
2258,$179541
2259,$195651
2260,$154383
2261,$217686
2262,$245920
2263,$285407
2264,$431145
2265,$177751
2266,$324575
2267,$348079
2268,$363729
2269,$166587
2270,$214423
2271,$281147
2272,$256196
2273,$169563
2274,$204344
2275,$181025
2276,$209594
2277,$214244
2278,$160032
2279,$140655
2280,$137950
2281,$181338
2282,$199257
2283,$115714
2284,$124940
2285,$148531
2286,$141228
2287,$302620
2288,$212187
2289,$310837
2290,$359924
2291,$264699
2292,$347352
2293,$286953
2294,$328945
2295,$312783
2296,$278889
2297,$295018
2298,$294549
2299,$283492
2300,$284227
2301,$307375
2302,$267390
2303,$253150
2304,$244934
2305,$202963
2306,$185854
2307,$205568
2308,$253943
2309,$294524
2310,$230608
2311,$217104
2312,$188335
2313,$196260
2314,$197848
2315,$194296
2316,$215035
2317,$197209
2318,$194429
2319,$197686
2320,$188880
2321,$294382
2322,$193948
2323,$194923
