Property ID,Sale Price
1461,$142.4K
1462,$162.3K
1463,$197.3K
1464,$220.3K
1465,$218.3K
1466,$195.9K
1467,$161.6K
1468,$188.8K
1469,$214.9K
1470,$123.7K
1471,$205.9K
1472,$95.8K
1473,$101.6K
1474,$154.5K
1475,$138.6K
1476,$320.7K
1477,$215.2K
1478,$261.6K
1479,$290.0K
1480,$361.1K
1481,$299.5K
1482,$229.8K
1483,$169.8K
1484,$187.7K
1485,$180.3K
1486,$226.2K
1487,$301.8K
1488,$256.1K
1489,$194.9K
1490,$236.2K
1491,$212.6K
1492,$96.1K
1493,$214.7K
1494,$270.5K
1495,$286.5K
1496,$236.0K
1497,$207.4K
1498,$165.4K
1499,$161.4K
1500,$157.7K
1501,$178.7K
1502,$162.1K
1503,$277.9K
1504,$250.4K
1505,$240.2K
1506,$223.9K
1507,$267.7K
1508,$235.2K
1509,$190.9K
1510,$153.2K
1511,$148.9K
1512,$192.9K
1513,$189.5K
1514,$184.1K
1515,$189.7K
1516,$169.8K
1517,$163.2K
1518,$139.8K
1519,$244.7K
1520,$141.5K
1521,$155.9K
1522,$190.5K
1523,$120.9K
1524,$130.1K
1525,$140.8K
1526,$150.3K
1527,$109.1K
1528,$125.6K
1529,$149.0K
1530,$200.6K
1531,$123.5K
1532,$119.6K
1533,$159.6K
1534,$121.8K
1535,$183.6K
1536,$117.7K
1537,$82.0K
1538,$185.2K
1539,$241.3K
1540,$133.3K
1541,$168.9K
1542,$150.4K
1543,$249.8K
1544,$85.6K
1545,$105.5K
1546,$137.6K
1547,$165.0K
1548,$136.7K
1549,$122.5K
1550,$166.5K
1551,$125.3K
1552,$173.5K
1553,$165.3K
1554,$127.1K
1555,$195.1K
1556,$113.4K
1557,$134.2K
1558,$102.0K
1559,$130.2K
1560,$156.6K
1561,$181.3K
1562,$141.8K
1563,$139.7K
1564,$179.3K
1565,$172.0K
1566,$245.3K
1567,$82.7K
1568,$264.6K
1569,$168.7K
1570,$141.6K
1571,$126.2K
1572,$149.0K
1573,$247.7K
1574,$145.2K
1575,$269.1K
1576,$248.6K
1577,$187.5K
1578,$165.9K
1579,$160.3K
1580,$223.0K
1581,$150.1K
1582,$148.9K
1583,$341.6K
1584,$260.3K
1585,$149.1K
1586,$65.1K
1587,$96.0K
1588,$167.9K
1589,$114.5K
1590,$147.1K
1591,$116.8K
1592,$135.1K
1593,$137.6K
1594,$138.2K
1595,$131.2K
1596,$283.1K
1597,$194.9K
1598,$226.6K
1599,$219.0K
1600,$209.1K
1601,$65.3K
1602,$124.3K
1603,$89.7K
1604,$334.2K
1605,$261.3K
1606,$169.8K
1607,$183.3K
1608,$208.6K
1609,$182.3K
1610,$167.4K
1611,$163.7K
1612,$186.7K
1613,$172.1K
1614,$119.8K
1615,$88.1K
1616,$88.8K
1617,$95.4K
1618,$138.4K
1619,$152.2K
1620,$158.8K
1621,$153.6K
1622,$171.4K
1623,$371.1K
1624,$235.9K
1625,$131.7K
1626,$197.0K
1627,$207.3K
1628,$300.5K
1629,$195.8K
1630,$362.1K
1631,$238.9K
1632,$258.0K
1633,$178.9K
1634,$209.4K
1635,$210.0K
1636,$149.1K
1637,$224.2K
1638,$243.2K
1639,$210.3K
1640,$287.9K
1641,$215.4K
1642,$255.1K
1643,$243.5K
1644,$239.9K
1645,$207.5K
1646,$157.4K
1647,$172.0K
1648,$127.0K
1649,$152.4K
1650,$133.9K
1651,$136.0K
1652,$98.3K
1653,$94.4K
1654,$154.3K
1655,$154.2K
1656,$157.2K
1657,$157.1K
1658,$147.2K
1659,$147.2K
1660,$156.6K
1661,$341.1K
1662,$305.9K
1663,$338.5K
1664,$264.5K
1665,$278.2K
1666,$327.8K
1667,$338.5K
1668,$305.4K
1669,$277.1K
1670,$291.4K
1671,$282.9K
1672,$261.5K
1673,$262.7K
1674,$269.3K
1675,$201.2K
1676,$194.1K
1677,$217.1K
1678,$260.9K
1679,$342.7K
1680,$342.3K
1681,$277.8K
1682,$302.5K
1683,$195.7K
1684,$196.3K
1685,$201.1K
1686,$179.2K
1687,$173.3K
1688,$203.2K
1689,$207.1K
1690,$217.6K
1691,$186.4K
1692,$287.4K
1693,$173.9K
1694,$204.1K
1695,$173.6K
1696,$279.5K
1697,$175.5K
1698,$300.4K
1699,$322.2K
1700,$273.3K
1701,$297.4K
1702,$193.1K
1703,$252.3K
1704,$296.9K
1705,$256.2K
1706,$274.1K
1707,$231.2K
1708,$208.9K
1709,$243.9K
1710,$236.1K
1711,$251.1K
1712,$285.6K
1713,$270.1K
1714,$250.0K
1715,$229.8K
1716,$174.3K
1717,$181.8K
1718,$131.6K
1719,$248.0K
1720,$246.8K
1721,$169.2K
1722,$142.6K
1723,$158.1K
1724,$224.5K
1725,$259.4K
1726,$217.5K
1727,$167.4K
1728,$201.4K
1729,$179.6K
1730,$164.8K
1731,$136.4K
1732,$145.0K
1733,$133.4K
1734,$142.7K
1735,$141.8K
1736,$132.4K
1737,$320.1K
1738,$247.6K
1739,$234.2K
1740,$190.5K
1741,$186.1K
1742,$184.7K
1743,$185.9K
1744,$311.0K
1745,$256.3K
1746,$221.7K
1747,$262.5K
1748,$253.3K
1749,$172.4K
1750,$125.6K
1751,$282.1K
1752,$135.4K
1753,$160.3K
1754,$258.7K
1755,$190.4K
1756,$153.7K
1757,$139.6K
1758,$165.7K
1759,$183.1K
1760,$166.1K
1761,$168.8K
1762,$197.4K
1763,$226.5K
1764,$132.5K
1765,$195.6K
1766,$215.4K
1767,$230.4K
1768,$149.5K
1769,$190.2K
1770,$146.6K
1771,$141.7K
1772,$145.9K
1773,$141.5K
1774,$164.2K
1775,$138.6K
1776,$128.6K
1777,$126.7K
1778,$139.3K
1779,$106.1K
1780,$198.9K
1781,$127.9K
1782,$95.1K
1783,$151.8K
1784,$97.2K
1785,$125.5K
1786,$173.5K
1787,$184.6K
1788,$75.9K
1789,$103.9K
1790,$102.4K
1791,$186.7K
1792,$163.0K
1793,$145.8K
1794,$161.0K
1795,$148.9K
1796,$131.5K
1797,$124.6K
1798,$133.1K
1799,$113.9K
1800,$153.9K
1801,$145.8K
1802,$154.3K
1803,$174.3K
1804,$157.9K
1805,$136.5K
1806,$129.8K
1807,$149.5K
1808,$131.6K
1809,$125.5K
1810,$166.2K
1811,$115.0K
1812,$123.9K
1813,$131.8K
1814,$104.5K
1815,$67.0K
1816,$106.8K
1817,$153.7K
1818,$187.2K
1819,$141.1K
1820,$76.8K
1821,$136.5K
1822,$173.8K
1823,$46.1K
1824,$171.9K
1825,$142.1K
1826,$115.0K
1827,$115.0K
1828,$144.9K
1829,$113.6K
1830,$168.0K
1831,$158.7K
1832,$108.2K
1833,$158.4K
1834,$120.2K
1835,$180.1K
1836,$148.4K
1837,$91.2K
1838,$134.9K
1839,$98.6K
1840,$180.6K
1841,$168.7K
1842,$92.0K
1843,$144.1K
1844,$155.0K
1845,$160.9K
1846,$155.2K
1847,$160.5K
1848,$64.3K
1849,$110.5K
1850,$132.2K
1851,$187.2K
1852,$138.2K
1853,$149.0K
1854,$174.3K
1855,$175.3K
1856,$273.6K
1857,$137.4K
1858,$160.1K
1859,$116.4K
1860,$168.4K
1861,$116.5K
1862,$286.7K
1863,$278.6K
1864,$278.6K
1865,$302.4K
1866,$368.7K
1867,$232.0K
1868,$386.7K
1869,$207.1K
1870,$235.7K
1871,$264.9K
1872,$183.1K
1873,$283.6K
1874,$143.8K
1875,$225.6K
1876,$217.8K
1877,$245.1K
1878,$223.9K
1879,$159.8K
1880,$137.7K
1881,$262.1K
1882,$262.7K
1883,$227.8K
1884,$243.9K
1885,$260.2K
1886,$367.8K
1887,$238.8K
1888,$294.3K
1889,$177.0K
1890,$145.0K
1891,$148.1K
1892,$117.8K
1893,$158.4K
1894,$143.9K
1895,$158.1K
1896,$131.2K
1897,$129.7K
1898,$115.8K
1899,$149.9K
1900,$156.8K
1901,$163.6K
1902,$167.1K
1903,$246.9K
1904,$155.9K
1905,$215.8K
1906,$163.2K
1907,$208.6K
1908,$114.1K
1909,$140.1K
1910,$129.7K
1911,$231.5K
1912,$279.8K
1913,$160.4K
1914,$57.9K
1915,$360.9K
1916,$55.2K
1917,$260.5K
1918,$143.1K
1919,$176.6K
1920,$176.4K
1921,$277.8K
1922,$323.4K
1923,$236.9K
1924,$277.4K
1925,$261.5K
1926,$290.1K
1927,$155.0K
1928,$186.7K
1929,$117.9K
1930,$114.1K
1931,$139.2K
1932,$164.6K
1933,$185.3K
1934,$197.8K
1935,$192.7K
1936,$210.1K
1937,$212.4K
1938,$177.8K
1939,$288.8K
1940,$215.1K
1941,$211.7K
1942,$231.2K
1943,$231.0K
1944,$273.7K
1945,$371.3K
1946,$168.4K
1947,$340.3K
1948,$167.4K
1949,$259.1K
1950,$198.5K
1951,$288.9K
1952,$281.6K
1953,$174.8K
1954,$202.6K
1955,$138.1K
1956,$276.4K
1957,$196.8K
1958,$343.1K
1959,$151.4K
1960,$140.2K
1961,$140.2K
1962,$94.3K
1963,$99.4K
1964,$115.4K
1965,$149.8K
1966,$146.6K
1967,$269.1K
1968,$318.0K
1969,$328.5K
1970,$341.2K
1971,$394.8K
1972,$293.2K
1973,$257.2K
1974,$265.6K
1975,$293.4K
1976,$267.1K
1977,$313.4K
1978,$315.5K
1979,$291.2K
1980,$206.3K
1981,$291.3K
1982,$254.9K
1983,$228.9K
1984,$177.4K
1985,$233.2K
1986,$238.1K
1987,$189.8K
1988,$202.6K
1989,$217.9K
1990,$253.0K
1991,$217.1K
1992,$255.4K
1993,$167.8K
1994,$268.4K
1995,$198.6K
1996,$267.2K
1997,$291.6K
1998,$293.3K
1999,$282.6K
2000,$264.7K
2001,$290.2K
2002,$269.4K
2003,$256.3K
2004,$280.2K
2005,$246.3K
2006,$240.0K
2007,$215.1K
2008,$194.9K
2009,$214.6K
2010,$220.7K
2011,$153.5K
2012,$175.4K
2013,$206.2K
2014,$220.4K
2015,$227.4K
2016,$214.8K
2017,$236.4K
2018,$142.4K
2019,$140.5K
2020,$134.5K
2021,$127.3K
2022,$211.6K
2023,$176.1K
2024,$258.5K
2025,$355.9K
2026,$195.4K
2027,$154.5K
2028,$160.9K
2029,$178.4K
2030,$341.6K
2031,$269.2K
2032,$289.7K
2033,$298.7K
2034,$175.7K
2035,$258.1K
2036,$227.8K
2037,$224.3K
2038,$320.7K
2039,$243.5K
2040,$307.1K
2041,$263.3K
2042,$224.4K
2043,$195.4K
2044,$217.9K
2045,$212.6K
2046,$151.7K
2047,$156.1K
2048,$145.6K
2049,$161.1K
2050,$224.4K
2051,$105.3K
2052,$131.3K
2053,$158.6K
2054,$86.9K
2055,$181.1K
2056,$147.0K
2057,$126.9K
2058,$253.4K
2059,$149.8K
2060,$188.1K
2061,$195.0K
2062,$151.6K
2063,$127.0K
2064,$138.3K
2065,$130.6K
2066,$208.4K
2067,$116.1K
2068,$171.6K
2069,$71.7K
2070,$110.5K
2071,$99.3K
2072,$129.9K
2073,$150.2K
2074,$203.2K
2075,$153.8K
2076,$125.5K
2077,$151.7K
2078,$148.3K
2079,$141.6K
2080,$125.9K
2081,$136.8K
2082,$161.4K
2083,$161.0K
2084,$122.3K
2085,$134.2K
2086,$93.8K
2087,$119.4K
2088,$114.4K
2089,$107.3K
2090,$164.1K
2091,$138.5K
2092,$135.8K
2093,$172.2K
2094,$144.5K
2095,$150.1K
2096,$86.6K
2097,$116.6K
2098,$168.6K
2099,$51.0K
2100,$111.2K
2101,$124.4K
2102,$152.8K
2103,$113.1K
2104,$157.1K
2105,$152.6K
2106,$65.2K
2107,$265.1K
2108,$134.7K
2109,$125.2K
2110,$142.7K
2111,$186.1K
2112,$153.8K
2113,$139.5K
2114,$115.8K
2115,$200.4K
2116,$129.2K
2117,$165.1K
2118,$135.8K
2119,$115.3K
2120,$123.2K
2121,$89.4K
2122,$103.9K
2123,$83.4K
2124,$204.7K
2125,$150.3K
2126,$200.8K
2127,$171.3K
2128,$144.6K
2129,$105.2K
2130,$150.5K
2131,$192.9K
2132,$113.4K
2133,$122.7K
2134,$124.3K
2135,$106.4K
2136,$104.2K
2137,$111.1K
2138,$154.5K
2139,$168.2K
2140,$144.9K
2141,$152.9K
2142,$141.8K
2143,$134.8K
2144,$110.6K
2145,$149.0K
2146,$162.1K
2147,$172.2K
2148,$141.7K
2149,$150.4K
2150,$251.4K
2151,$131.4K
2152,$195.1K
2153,$180.2K
2154,$130.6K
2155,$133.4K
2156,$251.0K
2157,$269.6K
2158,$262.2K
2159,$246.4K
2160,$168.4K
2161,$241.4K
2162,$277.6K
2163,$272.4K
2164,$269.3K
2165,$239.7K
2166,$152.4K
2167,$240.5K
2168,$240.8K
2169,$223.9K
2170,$258.2K
2171,$166.5K
2172,$140.9K
2173,$174.9K
2174,$255.6K
2175,$313.5K
2176,$352.3K
2177,$257.4K
2178,$214.7K
2179,$147.6K
2180,$220.5K
2181,$220.0K
2182,$229.9K
2183,$204.9K
2184,$131.7K
2185,$144.3K
2186,$149.9K
2187,$162.3K
2188,$182.3K
2189,$209.7K
2190,$78.2K
2191,$85.4K
2192,$105.0K
2193,$114.7K
2194,$102.7K
2195,$125.7K
2196,$108.7K
2197,$131.8K
2198,$162.5K
